evaluation,split,model,horizon_hours,metric,seeds,mean,standard_deviation,minimum,maximum
recalibrated,external_test,grud,1,patient_nmae,1,0.37624984956289065,0.0,0.37624984956289065,0.37624984956289065
recalibrated,external_test,grud,1,patient_crps,1,0.2880569510796271,0.0,0.2880569510796271,0.2880569510796271
recalibrated,external_test,grud,1,coverage_90,1,0.8987365559845181,0.0,0.8987365559845181,0.8987365559845181
recalibrated,external_test,grud,1,mean_interval_width_scaled,1,1.6969099556964187,0.0,1.6969099556964187,1.6969099556964187
recalibrated,external_test,grud,1,patient_nll,1,0.7616932782940293,0.0,0.7616932782940293,0.7616932782940293
recalibrated,external_test,grud,1,mask_brier,1,0.06400282892466963,0.0,0.06400282892466963,0.06400282892466963
recalibrated,external_test,grud,1,coverage_error_90,1,0.0012634440154819515,0.0,0.0012634440154819515,0.0012634440154819515
recalibrated,external_test,grud,3,patient_nmae,1,0.4363625922854469,0.0,0.4363625922854469,0.4363625922854469
recalibrated,external_test,grud,3,patient_crps,1,0.32859492946508634,0.0,0.32859492946508634,0.32859492946508634
recalibrated,external_test,grud,3,coverage_90,1,0.8846759398522227,0.0,0.8846759398522227,0.8846759398522227
recalibrated,external_test,grud,3,mean_interval_width_scaled,1,1.8538238644906275,0.0,1.8538238644906275,1.8538238644906275
recalibrated,external_test,grud,3,patient_nll,1,0.8991289335452396,0.0,0.8991289335452396,0.8991289335452396
recalibrated,external_test,grud,3,mask_brier,1,0.061178739686815524,0.0,0.061178739686815524,0.061178739686815524
recalibrated,external_test,grud,3,coverage_error_90,1,0.015324060147777319,0.0,0.015324060147777319,0.015324060147777319
recalibrated,external_test,grud,6,patient_nmae,1,0.4834918199554325,0.0,0.4834918199554325,0.4834918199554325
recalibrated,external_test,grud,6,patient_crps,1,0.36522304626670277,0.0,0.36522304626670277,0.36522304626670277
recalibrated,external_test,grud,6,coverage_90,1,0.8974728695358235,0.0,0.8974728695358235,0.8974728695358235
recalibrated,external_test,grud,6,mean_interval_width_scaled,1,2.1545586601053515,0.0,2.1545586601053515,2.1545586601053515
recalibrated,external_test,grud,6,patient_nll,1,1.0161544567184666,0.0,1.0161544567184666,1.0161544567184666
recalibrated,external_test,grud,6,mask_brier,1,0.06242336845285377,0.0,0.06242336845285377,0.06242336845285377
recalibrated,external_test,grud,6,coverage_error_90,1,0.002527130464176519,0.0,0.002527130464176519,0.002527130464176519
recalibrated,external_test,grud,12,patient_nmae,1,0.5214177432427437,0.0,0.5214177432427437,0.5214177432427437
recalibrated,external_test,grud,12,patient_crps,1,0.39017789679782866,0.0,0.39017789679782866,0.39017789679782866
recalibrated,external_test,grud,12,coverage_90,1,0.8871951760598354,0.0,0.8871951760598354,0.8871951760598354
recalibrated,external_test,grud,12,mean_interval_width_scaled,1,2.2129109733772263,0.0,2.2129109733772263,2.2129109733772263
recalibrated,external_test,grud,12,patient_nll,1,1.0941523974926382,0.0,1.0941523974926382,1.0941523974926382
recalibrated,external_test,grud,12,mask_brier,1,0.06246144555024608,0.0,0.06246144555024608,0.06246144555024608
recalibrated,external_test,grud,12,coverage_error_90,1,0.012804823940164578,0.0,0.012804823940164578,0.012804823940164578
recalibrated,external_test,grud,24,patient_nmae,1,0.5606425324304202,0.0,0.5606425324304202,0.5606425324304202
recalibrated,external_test,grud,24,patient_crps,1,0.4174596362372863,0.0,0.4174596362372863,0.4174596362372863
recalibrated,external_test,grud,24,coverage_90,1,0.8825083432327497,0.0,0.8825083432327497,0.8825083432327497
recalibrated,external_test,grud,24,mean_interval_width_scaled,1,2.3264626777563775,0.0,2.3264626777563775,2.3264626777563775
recalibrated,external_test,grud,24,patient_nll,1,1.17371216993391,0.0,1.17371216993391,1.17371216993391
recalibrated,external_test,grud,24,mask_brier,1,0.06594532485128395,0.0,0.06594532485128395,0.06594532485128395
recalibrated,external_test,grud,24,coverage_error_90,1,0.017491656767250285,0.0,0.017491656767250285,0.017491656767250285
recalibrated,external_test,rssm,1,patient_nmae,1,0.506474583959051,0.0,0.506474583959051,0.506474583959051
recalibrated,external_test,rssm,1,patient_crps,1,0.3850244713053095,0.0,0.3850244713053095,0.3850244713053095
recalibrated,external_test,rssm,1,coverage_90,1,0.8887012518941124,0.0,0.8887012518941124,0.8887012518941124
recalibrated,external_test,rssm,1,mean_interval_width_scaled,1,2.2335230661864838,0.0,2.2335230661864838,2.2335230661864838
recalibrated,external_test,rssm,1,patient_nll,1,1.0701963030073682,0.0,1.0701963030073682,1.0701963030073682
recalibrated,external_test,rssm,1,mask_brier,1,0.07219368080249948,0.0,0.07219368080249948,0.07219368080249948
recalibrated,external_test,rssm,1,coverage_error_90,1,0.011298748105887602,0.0,0.011298748105887602,0.011298748105887602
recalibrated,external_test,rssm,3,patient_nmae,1,0.5538157738254371,0.0,0.5538157738254371,0.5538157738254371
