evaluation,split,model,seed,horizon_hours,patient_nmae,patient_crps,coverage_90,mean_interval_width_scaled,patient_nll,mask_brier,coverage_error_90
recalibrated,external_test,grud,20260912,1,0.37624984956289065,0.2880569510796271,0.8987365559845181,1.6969099556964187,0.7616932782940293,0.06400282892466963,0.0012634440154819515
recalibrated,external_test,grud,20260912,3,0.4363625922854469,0.32859492946508634,0.8846759398522227,1.8538238644906275,0.8991289335452396,0.061178739686815524,0.015324060147777319
recalibrated,external_test,grud,20260912,6,0.4834918199554325,0.36522304626670277,0.8974728695358235,2.1545586601053515,1.0161544567184666,0.06242336845285377,0.002527130464176519
recalibrated,external_test,grud,20260912,12,0.5214177432427437,0.39017789679782866,0.8871951760598354,2.2129109733772263,1.0941523974926382,0.06246144555024608,0.012804823940164578
recalibrated,external_test,grud,20260912,24,0.5606425324304202,0.4174596362372863,0.8825083432327497,2.3264626777563775,1.17371216993391,0.06594532485128395,0.017491656767250285
recalibrated,external_test,rssm,20260912,1,0.506474583959051,0.3850244713053095,0.8887012518941124,2.2335230661864838,1.0701963030073682,0.07219368080249948,0.011298748105887602
recalibrated,external_test,rssm,20260912,3,0.5538157738254371,0.41651790809238276,0.872532512910892,2.301542513895479,1.148781736495114,0.06786144357887583,0.027467487089108067
recalibrated,external_test,rssm,20260912,6,0.5907242987332336,0.4451795089836391,0.8773873591428295,2.5129243050278935,1.216654821343347,0.06636681708306932,0.02261264085717052
recalibrated,external_test,rssm,20260912,12,0.6164592913720108,0.4646724385129887,0.8743227224394533,2.580520853416226,1.2672725202925834,0.06512061852069143,0.02567727756054672
recalibrated,external_test,rssm,20260912,24,0.6437266360060483,0.4854558494473652,0.8768927464107406,2.7197732639861245,1.335892553488534,0.06805376466832483,0.02310725358925947
recalibrated,external_test,transformer,20260912,1,0.3762525927301835,0.287671491789773,0.8993098489891903,1.7022550898005429,0.7514398173559961,0.06240716822273436,0.0006901510108097142
recalibrated,external_test,transformer,20260912,3,0.43720517335556913,0.3268731951067192,0.8814231006431448,1.8413628179670267,0.8885873461552704,0.05899737917992634,0.018576899356855248
recalibrated,external_test,transformer,20260912,6,0.48170002260671074,0.36088906451859903,0.8936582763863935,2.139810458229085,1.0042841453260614,0.05995820868455798,0.00634172361360652
recalibrated,external_test,transformer,20260912,12,0.5186350329575298,0.38636535081018886,0.8893976924918794,2.2589438782865283,1.0841919790177987,0.06179497627809255,0.010602307508120634
recalibrated,external_test,transformer,20260912,24,0.5566634203997427,0.4135723864188611,0.880540629681884,2.3566252281691202,1.1810953586373405,0.06856043082124248,0.019459370318116065
zero_shot,external_test,global_median,-1,1,0.6633621348717863,,,,,,
zero_shot,external_test,global_median,-1,3,0.6639278444566871,,,,,,
zero_shot,external_test,global_median,-1,6,0.6658232321325104,,,,,,
zero_shot,external_test,global_median,-1,12,0.6634230813143884,,,,,,
zero_shot,external_test,global_median,-1,24,0.6697730318621201,,,,,,
zero_shot,external_test,grud,20260912,1,0.376249849403773,0.2827254223080289,0.850015227565011,1.4174319914678946,0.7912304911567942,0.06400282892466963,0.049984772434989
zero_shot,external_test,grud,20260912,3,0.4363625925787457,0.32487418188751443,0.8397035150008635,1.5958839417976065,0.9260846620526278,0.061178739686815524,0.060296484999136535
zero_shot,external_test,grud,20260912,6,0.4834918198569465,0.35880865810856566,0.8328847270531285,1.7370805377160483,1.0497645142515752,0.06242336845285377,0.06711527294687147
zero_shot,external_test,grud,20260912,12,0.5214177430890261,0.38578565432517153,0.8366571445089368,1.8803746375235775,1.1249765791877933,0.06246144555024608,0.06334285549106322
zero_shot,external_test,grud,20260912,24,0.5606425324652764,0.4138696576415087,0.8412525122127538,2.03831836852285,1.2006367818263644,0.06594532485128395,0.058747487787246255
zero_shot,external_test,hourly_median,-1,1,0.6698902053534631,,,,,,
zero_shot,external_test,hourly_median,-1,3,0.6707439764838267,,,,,,
zero_shot,external_test,hourly_median,-1,6,0.6719050173153197,,,,,,
zero_shot,external_test,hourly_median,-1,12,0.6617272366683973,,,,,,
zero_shot,external_test,hourly_median,-1,24,0.662441769155088,,,,,,
zero_shot,external_test,locf,-1,1,0.38526378215079654,,,,,,
zero_shot,external_test,locf,-1,3,0.4613848849535536,,,,,,
zero_shot,external_test,locf,-1,6,0.5223365130796808,,,,,,
zero_shot,external_test,locf,-1,12,0.5752986591510477,,,,,,
zero_shot,external_test,locf,-1,24,0.6033291539173524,,,,,,
zero_shot,external_test,ridge_var,-1,1,0.3609548725896776,,,,,,
zero_shot,external_test,ridge_var,-1,3,0.42511477798939784,,,,,,
zero_shot,external_test,ridge_var,-1,6,0.47822298411483627,,,,,,
zero_shot,external_test,ridge_var,-1,12,0.5300539742222081,,,,,,
zero_shot,external_test,ridge_var,-1,24,0.5862053668638448,,,,,,
zero_shot,external_test,rssm,20260912,1,0.5064745840552397,0.3958910778400534,0.5546355619885017,0.9591357698968072,2.4120722786945112,0.07219368080249948,0.3453644380114983
zero_shot,external_test,rssm,20260912,3,0.5538157735544204,0.43706168312658417,0.5183826111360026,0.9733774813246678,2.751332831785272,0.06786144357887583,0.38161738886399743
zero_shot,external_test,rssm,20260912,6,0.5907242986871,0.4695556554558052,0.49944144447655825,0.986318713707674,3.097128491027319,0.06636681708306932,0.4005585555234418
zero_shot,external_test,rssm,20260912,12,0.6164592914671948,0.4920772929177891,0.48997293524275665,1.00136481662551,3.3187230294994055,0.06512061852069143,0.4100270647572434
zero_shot,external_test,rssm,20260912,24,0.6437266358440142,0.5152662963782844,0.4846429269040763,1.026280836902535,3.6480146701297325,0.06805376466832483,0.41535707309592373
zero_shot,external_test,transformer,20260912,1,0.37625259256253885,0.2823163314454869,0.8523514649782657,1.4279966221330804,0.778961904019264,0.06240716822273436,0.04764853502173427
zero_shot,external_test,transformer,20260912,3,0.4372051729206471,0.32474921885884295,0.8592219671933655,1.7044740885499237,0.8965752090506228,0.05899737917992634,0.0407780328066345
