split,model,seed,horizon_hours,constraint,violations_per_1000_states
internal_test,grud,20260912,12,SaO2_bounds,61.714952362434374
internal_test,grud,20260912,12,emitted_FiO2_bounds,12.346879253354071
internal_test,grud,20260912,12,emitted_O2Sat_bounds,148.5125413182967
internal_test,grud,20260912,12,emitted_SaO2_bounds,186.89480847754228
internal_test,grud,20260912,12,emitted_pressure_order,151.76939529457516
internal_test,grud,20260912,12,pressure_order,124.68403655454016
internal_test,grud,20260912,24,FiO2_bounds,6.105385961501069
internal_test,grud,20260912,24,O2Sat_bounds,143.40851643009916
internal_test,grud,20260912,24,SaO2_bounds,87.38090608594206
internal_test,grud,20260912,24,emitted_FiO2_bounds,12.531596344545983
internal_test,grud,20260912,24,emitted_O2Sat_bounds,144.85708730313047
internal_test,grud,20260912,24,emitted_SaO2_bounds,184.27960334435156
internal_test,grud,20260912,24,emitted_pressure_order,157.95255687342018
internal_test,grud,20260912,24,pressure_order,138.25588178106165
external_test,transformer,20260912,1,FiO2_bounds,2.5779967159277506
external_test,transformer,20260912,1,O2Sat_bounds,119.85385878489326
external_test,transformer,20260912,1,SaO2_bounds,8.425287356321839
external_test,transformer,20260912,1,emitted_FiO2_bounds,34.73070607553366
external_test,transformer,20260912,1,emitted_O2Sat_bounds,135.07224958949098
external_test,transformer,20260912,1,emitted_SaO2_bounds,213.89326765188835
external_test,transformer,20260912,1,emitted_pressure_order,112.79802955665023
external_test,transformer,20260912,1,pressure_order,103.07717569786536
external_test,transformer,20260912,3,FiO2_bounds,4.888341543513957
external_test,transformer,20260912,3,O2Sat_bounds,141.04105090311987
external_test,transformer,20260912,3,SaO2_bounds,21.41543513957307
external_test,transformer,20260912,3,emitted_FiO2_bounds,38.44991789819376
external_test,transformer,20260912,3,emitted_O2Sat_bounds,143.92446633825944
external_test,transformer,20260912,3,emitted_SaO2_bounds,208.70279146141215
external_test,transformer,20260912,3,emitted_pressure_order,152.5024630541872
external_test,transformer,20260912,3,pressure_order,142.23481116584566
external_test,transformer,20260912,6,FiO2_bounds,6.676518883415435
external_test,transformer,20260912,6,O2Sat_bounds,148.88177339901478
external_test,transformer,20260912,6,SaO2_bounds,35.71100164203612
external_test,transformer,20260912,6,emitted_FiO2_bounds,41.32183908045977
external_test,transformer,20260912,6,emitted_O2Sat_bounds,149.0706075533662
external_test,transformer,20260912,6,emitted_SaO2_bounds,203.7454844006568
external_test,transformer,20260912,6,emitted_pressure_order,172.8423645320197
external_test,transformer,20260912,6,pressure_order,161.69622331691298
external_test,transformer,20260912,12,FiO2_bounds,8.97208538587849
external_test,transformer,20260912,12,O2Sat_bounds,158.6600985221675
external_test,transformer,20260912,12,SaO2_bounds,55.54351395730706
external_test,transformer,20260912,12,emitted_FiO2_bounds,42.38095238095238
external_test,transformer,20260912,12,emitted_O2Sat_bounds,158.64203612479474
external_test,transformer,20260912,12,emitted_SaO2_bounds,191.19868637110017
external_test,transformer,20260912,12,emitted_pressure_order,201.4893267651888
external_test,transformer,20260912,12,pressure_order,189.2282430213465
external_test,transformer,20260912,24,FiO2_bounds,11.170771756978654
external_test,transformer,20260912,24,O2Sat_bounds,169.4630541871921
external_test,transformer,20260912,24,SaO2_bounds,79.2807881773399
external_test,transformer,20260912,24,emitted_FiO2_bounds,37.79474548440066
external_test,transformer,20260912,24,emitted_O2Sat_bounds,168.8144499178982
external_test,transformer,20260912,24,emitted_SaO2_bounds,176.4975369458128
external_test,transformer,20260912,24,emitted_pressure_order,235.6912972085386
external_test,transformer,20260912,24,pressure_order,221.3727422003284
internal_test,transformer,20260912,1,FiO2_bounds,3.004083219910558
internal_test,transformer,20260912,1,O2Sat_bounds,131.32412988528097
internal_test,transformer,20260912,1,SaO2_bounds,10.37332296325102
internal_test,transformer,20260912,1,emitted_FiO2_bounds,25.004860976083997
internal_test,transformer,20260912,1,emitted_O2Sat_bounds,144.82792144662648
internal_test,transformer,20260912,1,emitted_SaO2_bounds,198.05560956640093
internal_test,transformer,20260912,1,emitted_pressure_order,137.99338907252576
internal_test,transformer,20260912,1,pressure_order,89.84055998444488
internal_test,transformer,20260912,3,FiO2_bounds,5.891503013805172
internal_test,transformer,20260912,3,O2Sat_bounds,154.3846004277659
internal_test,transformer,20260912,3,SaO2_bounds,25.12152440209994
internal_test,transformer,20260912,3,emitted_FiO2_bounds,25.140968306435933
internal_test,transformer,20260912,3,emitted_O2Sat_bounds,156.72759090025278
internal_test,transformer,20260912,3,emitted_SaO2_bounds,196.73342407155357
internal_test,transformer,20260912,3,emitted_pressure_order,159.1386350379156
internal_test,transformer,20260912,3,pressure_order,110.59692786311491
internal_test,transformer,20260912,6,FiO2_bounds,6.815088469764729
internal_test,transformer,20260912,6,O2Sat_bounds,157.95255687342018
internal_test,transformer,20260912,6,SaO2_bounds,39.39335018471709
internal_test,transformer,20260912,6,emitted_FiO2_bounds,24.674314602372156
internal_test,transformer,20260912,6,emitted_O2Sat_bounds,157.9428349212522
