model,model_label,horizon_hours,internal_patients,external_patients,internal_mean_nmae,external_mean_nmae,absolute_degradation,absolute_ci_95_lower,absolute_ci_95_upper,relative_degradation_percent,relative_ci_95_lower,relative_ci_95_upper,resampling
locf,Last observation carried forward,12,1806,10178,0.5525316803882975,0.5752986591510478,0.022766978762750356,0.008108952509969482,0.03418544389092381,4.120483869223683,1.4368916912058327,6.299963064212316,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
global_median,Global median,12,1806,10178,0.6196818214300599,0.6634230813143884,0.04374125988432853,0.03190095132339698,0.05583817745522267,7.058664361556613,5.0542843803906194,9.150472855316643,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
hourly_median,Hourly median,12,1806,10178,0.6179801683956204,0.6617272366683973,0.04374706827277686,0.032211534949084186,0.055929393274132946,7.079040802612088,5.151904468389526,9.187970526016757,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
ridge_var,Ridge vector autoregression,12,1806,10178,0.5102423620124077,0.5300539742222082,0.019811612209800544,0.009264122810174902,0.026880543955060673,3.882784669556461,1.791791636610787,5.335989904252298,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
grud,Probabilistic GRU-D-style model,12,1806,10178,0.49489168785374416,0.521417743089026,0.026526055235281842,0.017445661696450267,0.03462791950262442,5.359971865827966,3.472633025896199,7.070807394791195,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
transformer,Causally masked Transformer,12,1806,10178,0.49395030440921156,0.5186350327786623,0.024684728369450737,0.013817833504146029,0.03390199621754826,4.997411308203335,2.7380462412154296,6.9737272882383685,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
rssm,Recurrent state-space model,12,1806,10178,0.5888923182585165,0.6164592914671947,0.02756697320867818,0.019875237948456224,0.03760764242755079,4.681156869255784,3.3384351300298603,6.507256110777807,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
