split,model,horizon_hours,constraint,violations,generated_states,violations_per_1000_states
external_calibration,grud,1,FiO2_bounds,70,66280,1.056125528062764
external_calibration,grud,1,O2Sat_bounds,7712,66280,116.3548581774291
external_calibration,grud,1,SaO2_bounds,386,66280,5.823777911888956
external_calibration,grud,1,emitted_FiO2_bounds,840,66280,12.673506336753169
external_calibration,grud,1,emitted_O2Sat_bounds,8635,66280,130.2806276403138
external_calibration,grud,1,emitted_SaO2_bounds,13620,66280,205.49185274592637
external_calibration,grud,1,emitted_pressure_order,6348,66280,95.77549788774894
external_calibration,grud,1,pressure_order,5424,66280,81.83464091732046
external_calibration,grud,3,FiO2_bounds,195,66280,2.9420639710319856
external_calibration,grud,3,O2Sat_bounds,7858,66280,118.55763427881713
external_calibration,grud,3,SaO2_bounds,1072,66280,16.173808086904042
external_calibration,grud,3,emitted_FiO2_bounds,905,66280,13.654194327097164
external_calibration,grud,3,emitted_O2Sat_bounds,7939,66280,119.77972238986119
external_calibration,grud,3,emitted_SaO2_bounds,13120,66280,197.9480989740495
external_calibration,grud,3,emitted_pressure_order,7912,66280,119.37235968617985
external_calibration,grud,3,pressure_order,7406,66280,111.73808086904043
external_calibration,grud,6,FiO2_bounds,248,66280,3.7417018708509353
external_calibration,grud,6,O2Sat_bounds,7479,66280,112.83946891973446
external_calibration,grud,6,SaO2_bounds,1822,66280,27.489438744719372
external_calibration,grud,6,emitted_FiO2_bounds,939,66280,14.167169583584792
external_calibration,grud,6,emitted_O2Sat_bounds,7501,66280,113.17139408569705
external_calibration,grud,6,emitted_SaO2_bounds,12816,66280,193.36149668074833
external_calibration,grud,6,emitted_pressure_order,9157,66280,138.15630657815328
external_calibration,grud,6,pressure_order,8854,66280,133.5847917923959
external_calibration,grud,12,FiO2_bounds,339,66280,5.1146650573325285
external_calibration,grud,12,O2Sat_bounds,6665,66280,100.55823777911888
external_calibration,grud,12,SaO2_bounds,2935,66280,44.28183464091732
external_calibration,grud,12,emitted_FiO2_bounds,1025,66280,15.464695232347616
external_calibration,grud,12,emitted_O2Sat_bounds,6655,66280,100.40736270368136
external_calibration,grud,12,emitted_SaO2_bounds,11974,66280,180.65781532890767
external_calibration,grud,12,emitted_pressure_order,10601,66280,159.94266747133375
external_calibration,grud,12,pressure_order,10580,66280,159.6258298129149
external_calibration,grud,24,FiO2_bounds,475,66280,7.166566083283041
external_calibration,grud,24,O2Sat_bounds,6094,66280,91.94327097163549
external_calibration,grud,24,SaO2_bounds,4381,66280,66.09837054918528
external_calibration,grud,24,emitted_FiO2_bounds,1208,66280,18.225709112854556
external_calibration,grud,24,emitted_O2Sat_bounds,6213,66280,93.73868436934218
external_calibration,grud,24,emitted_SaO2_bounds,11182,66280,168.7085093542547
external_calibration,grud,24,emitted_pressure_order,12514,66280,188.8050694025347
external_calibration,grud,24,pressure_order,12783,66280,192.86360893180446
