split,model,horizon_hours,variable,observed_targets,mae,rmse,nmae
external_test,global_median,1,HR,423503,14.02662909117527,17.654264294232654,0.6234057373855676
external_test,global_median,1,O2Sat,412754,2.186494861345983,3.1850491789281974,0.6247128175274238
external_test,global_median,1,Temp,161448,0.5787643699519339,0.7555144066175115,0.615706776544612
external_test,global_median,1,SBP,413721,20.256687187742465,26.048618118110028,0.6985064547497402
external_test,global_median,1,MAP,409990,14.284066684553283,19.14781444179752,0.7517929833975412
external_test,global_median,1,DBP,413607,12.136892194764599,16.388003062460538,0.7585557621727874
external_test,global_median,1,Resp,380234,3.4564702262291114,4.7838367221670355,0.49378146088987307
external_test,global_median,1,BaseExcess,959,3.7451511991657975,4.842373038329014,0.9362877997914494
external_test,global_median,1,HCO3,789,2.503548795944232,3.410522002499186,0.5007097591888464
external_test,global_median,1,FiO2,7647,0.1942578789067597,0.8505181844986949,1.2950525260450645
external_test,global_median,1,pH,7333,0.06626346652120535,0.08704624608086649,0.7362607391245051
external_test,global_median,1,PaCO2,7372,7.242342647856754,10.711986395464898,0.8047047386507504
external_test,global_median,1,SaO2,6293,2.325456856825041,4.004874869913065,0.4650913713650082
external_test,global_median,1,BUN,22681,12.490476610378732,20.362985901696227,0.7347339182575725
external_test,global_median,1,Chloride,2075,3.8749397590361445,5.149792369191513,0.5535628227194492
external_test,global_median,1,Creatinine,22698,0.9117596263988037,2.1021578879113623,1.302513751998291
external_test,global_median,1,Glucose,101540,32.10507927910183,49.414332859794136,0.6979365060674311
external_test,global_median,1,Magnesium,20120,0.26493290258449265,0.4279741856450439,0.6623322564612314
external_test,global_median,1,Phosphate,11857,1.0015729105170006,1.3938321979357355,0.6677152736780004
external_test,global_median,1,Potassium,30834,0.45008983589544616,0.6349645756450307,0.6429854798506373
external_test,global_median,1,Hct,24178,5.215315576143576,6.411858404486894,0.8549697665809138
external_test,global_median,1,Hgb,24523,1.8307140235696993,2.22088102403925,0.8321427379862272
external_test,global_median,1,WBC,21636,4.0914914956554,7.60826479081762,0.6599179831702257
external_test,global_median,1,Platelets,21956,71.73303425031882,95.20605697273606,0.5977752854193236
external_test,global_median,3,HR,392758,14.03696551056885,17.67527299468902,0.62386513380306
external_test,global_median,3,O2Sat,382603,2.1958413812751076,3.200341813715016,0.6273832517928879
external_test,global_median,3,Temp,149209,0.5788984578678199,0.7556055928469811,0.6158494232636397
external_test,global_median,3,SBP,383495,20.33231199885266,26.135973725094576,0.7011142068569882
external_test,global_median,3,MAP,380091,14.318664477717178,19.18035944499175,0.7536139198798515
external_test,global_median,3,DBP,383390,12.147338063068942,16.394732725572606,0.7592086289418088
external_test,global_median,3,Resp,352583,3.4658775380548694,4.79602438682563,0.49512536257926704
external_test,global_median,3,BaseExcess,859,3.780442374854481,4.884572777874394,0.9451105937136203
external_test,global_median,3,HCO3,711,2.5011251758087196,3.4149347262059853,0.5002250351617439
external_test,global_median,3,FiO2,6960,0.19749856321839018,0.8889355719901421,1.316657088122601
external_test,global_median,3,pH,6633,0.06608925071611632,0.08626433069635431,0.7343250079568492
external_test,global_median,3,PaCO2,6666,7.236626162616263,10.684743375444256,0.8040695736240292
external_test,global_median,3,SaO2,5694,2.3480857042500873,4.05636763252719,0.4696171408500175
external_test,global_median,3,BUN,20256,12.689277251184834,20.532728397038234,0.7464280735991079
external_test,global_median,3,Chloride,1864,3.8814377682403434,5.1701727916268885,0.5544911097486205
external_test,global_median,3,Creatinine,20273,0.9200340354165658,2.0917121715504705,1.3143343363093798
