split,model,horizon_hours,variable,observed_targets,mae,rmse,nmae
external_test,ridge_var,1,HR,423503,4.893065568077271,7.3022636906936,0.2174695808034343
external_test,ridge_var,1,O2Sat,412754,1.3938868959606616,2.3674377689125663,0.39825339884590333
external_test,ridge_var,1,Temp,161448,0.2653933493081904,0.408501147967733,0.28233335032786283
external_test,ridge_var,1,SBP,413721,10.573729142023657,14.45646050513385,0.3646113497249537
external_test,ridge_var,1,MAP,409990,7.4016861892963695,10.716312130496819,0.3895624310155984
external_test,ridge_var,1,DBP,413607,6.328704832067998,9.491203560717253,0.39554405200424986
external_test,ridge_var,1,Resp,380234,2.3243571441980904,3.3880575884294446,0.3320510205997272
external_test,ridge_var,1,BaseExcess,959,2.2028851327478147,3.071129211019855,0.5507212831869537
external_test,ridge_var,1,HCO3,789,1.773675042608311,2.4636492369951446,0.3547350085216622
external_test,ridge_var,1,FiO2,7647,0.13430870206948645,1.0060997551263022,0.8953913471299095
external_test,ridge_var,1,pH,7333,0.051404242088668,0.07193127140760887,0.5711582454296453
external_test,ridge_var,1,PaCO2,7372,5.518689930453406,8.395471709905733,0.6131877700503785
external_test,ridge_var,1,SaO2,6293,2.126629970441934,3.9007248680387603,0.4253259940883868
external_test,ridge_var,1,BUN,22681,5.358972846831863,10.255285643334611,0.3152336968724625
external_test,ridge_var,1,Chloride,2075,2.006846054197521,3.1748826212592047,0.2866922934567887
external_test,ridge_var,1,Creatinine,22698,0.3643638273603162,1.1272132153467669,0.5205197533718803
external_test,ridge_var,1,Glucose,101540,22.344967187703187,36.06979419990522,0.4857601562544171
external_test,ridge_var,1,Magnesium,20120,0.25262080686219357,0.37676545238566717,0.6315520171554837
external_test,ridge_var,1,Phosphate,11857,0.820781517938716,1.1664873963506706,0.5471876786258106
external_test,ridge_var,1,Potassium,30834,0.37763430195814995,0.5748802604014919,0.5394775742259283
external_test,ridge_var,1,Hct,24178,2.8088875552827473,4.030172163014813,0.46047336971848307
external_test,ridge_var,1,Hgb,24523,0.960703928248809,1.4469379986980986,0.4366836037494588
external_test,ridge_var,1,WBC,21636,2.446167078204024,4.436861259307991,0.39454307712968123
external_test,ridge_var,1,Platelets,21956,30.95106278244939,50.371679078452715,0.25792552318707823
external_test,ridge_var,3,HR,392758,6.488135701848006,9.238709899881124,0.28836158674880025
external_test,ridge_var,3,O2Sat,382603,1.6345771290694344,2.591167853078463,0.46702203687698124
external_test,ridge_var,3,Temp,149209,0.32817915763662,0.4628494608524749,0.3491267634432136
external_test,ridge_var,3,SBP,383495,12.709070610595017,16.95163357945509,0.4382438141584489
external_test,ridge_var,3,MAP,380091,8.770684482175925,12.264385982280666,0.4616149727461013
external_test,ridge_var,3,DBP,383390,7.287000056599869,10.544374476872575,0.4554375035374918
external_test,ridge_var,3,Resp,352583,2.725295573653642,3.8331394351612595,0.38932793909337743
external_test,ridge_var,3,BaseExcess,859,3.1366682622329867,4.1364539941448975,0.7841670655582467
external_test,ridge_var,3,HCO3,711,2.4257275844618804,3.1726446779759025,0.48514551689237606
external_test,ridge_var,3,FiO2,6960,0.14898431977638715,1.0278925674956778,0.9932287985092475
external_test,ridge_var,3,pH,6633,0.05447173660370858,0.07476531994868661,0.6052415178189852
external_test,ridge_var,3,PaCO2,6666,5.727912654005079,8.590022062171686,0.6364347393338977
external_test,ridge_var,3,SaO2,5694,2.209071439270376,3.862209467645837,0.44181428785407517
external_test,ridge_var,3,BUN,20256,5.2134903630563985,9.789012121944365,0.3066759037091999
external_test,ridge_var,3,Chloride,1864,2.3718696356845492,3.5266743492410986,0.338838519383507
external_test,ridge_var,3,Creatinine,20273,0.3512395802468395,1.052497591168026,0.5017708289240564
external_test,ridge_var,3,Glucose,93330,25.749211285634498,40.106578938614724,0.5597654627311848
external_test,ridge_var,3,Magnesium,18065,0.2430356989253834,0.3617794890285415,0.6075892473134583
external_test,ridge_var,3,Phosphate,10738,0.8164590484098984,1.149695284324148,0.5443060322732656
external_test,ridge_var,3,Potassium,27740,0.3771654670926646,0.5645380671591349,0.5388078101323778
external_test,ridge_var,3,Hct,21623,2.7737158324571634,3.997497363665339,0.45470751351756766
external_test,ridge_var,3,Hgb,21967,0.9609745507823476,1.4343617284910428,0.43680661399197634
external_test,ridge_var,3,WBC,19292,2.4012281078351805,4.416740631480649,0.3872948561024484
external_test,ridge_var,3,Platelets,19587,29.924992361572656,48.32560517268752,0.24937493634643879
external_test,ridge_var,6,HR,348343,7.9114796062786406,10.815192812953782,0.35162131583460626
external_test,ridge_var,6,O2Sat,339096,1.8179155691289957,2.753106144824935,0.5194044483225702
external_test,ridge_var,6,Temp,131538,0.41151982535916964,0.5552594379584366,0.4377870482544369
external_test,ridge_var,6,SBP,340018,14.338268026840343,18.860303463170293,0.4944230354082877
external_test,ridge_var,6,MAP,337125,9.969163926617496,13.659320486487225,0.524692838243026
external_test,ridge_var,6,DBP,339928,7.960436705598822,11.237886417193218,0.49752729409992635
external_test,ridge_var,6,Resp,312811,3.0006745375667094,4.117792896679537,0.4286677910809585
external_test,ridge_var,6,BaseExcess,725,3.5334550653583587,4.60583923601741,0.8833637663395897
external_test,ridge_var,6,HCO3,606,2.5489732086819217,3.433300192227111,0.5097946417363843
external_test,ridge_var,6,FiO2,6061,0.16460489399778147,1.0657432426425688,1.0973659599852097
external_test,ridge_var,6,pH,5736,0.05729078175171261,0.07811163907291047,0.6365642416856967
external_test,ridge_var,6,PaCO2,5764,5.844518872919625,8.631798154024496,0.6493909858799584
external_test,ridge_var,6,SaO2,4938,2.3662832237654667,3.9899588045728223,0.47325664475309337
external_test,ridge_var,6,BUN,17836,5.139481471988193,9.285443720795726,0.30232243952871724
external_test,ridge_var,6,Chloride,1588,2.71246622655649,3.89297426488201,0.3874951752223557
external_test,ridge_var,6,Creatinine,17852,0.34655499904123477,0.9898428913436258,0.4950785700589068
external_test,ridge_var,6,Glucose,82191,28.713404840521605,44.02238438240255,0.6242044530548175
external_test,ridge_var,6,Magnesium,16034,0.23464214113913745,0.34751867335356007,0.5866053528478434
external_test,ridge_var,6,Phosphate,9636,0.8147134279104498,1.1331667601692625,0.5431422852736332
external_test,ridge_var,6,Potassium,24424,0.377518526204998,0.5574998322615664,0.5393121802928541
external_test,ridge_var,6,Hct,19004,2.7652729982195154,3.97789804196435,0.453323442331068
external_test,ridge_var,6,Hgb,19323,0.9829669423051598,1.4274438141632069,0.4468031555932546
external_test,ridge_var,6,WBC,17003,2.403335350865476,4.380611757652743,0.3876347340105606
external_test,ridge_var,6,Platelets,17266,29.77266505490151,47.112967238857685,0.24810554212417923
external_test,ridge_var,12,HR,268890,9.704668734221872,12.74303810765987,0.431318610409861
external_test,ridge_var,12,O2Sat,261548,2.0168373673507003,2.9924634237708925,0.5762392478144858
external_test,ridge_var,12,Temp,100667,0.49281099368163755,0.6501926234112497,0.5242670145549349
external_test,ridge_var,12,SBP,262385,16.41209281746399,21.45026346619716,0.5659342350849651
external_test,ridge_var,12,MAP,260441,11.44059020057582,15.561455479540026,0.6021363263460957
external_test,ridge_var,12,DBP,262320,8.852001882501128,12.29738269159945,0.5532501176563205
external_test,ridge_var,12,Resp,241818,3.2875735636068493,4.481197992640167,0.4696533662295499
external_test,ridge_var,12,BaseExcess,478,3.8467380210336577,5.045134538831828,0.9616845052584144
external_test,ridge_var,12,HCO3,404,2.806266950248077,3.8207348614964793,0.5612533900496154
external_test,ridge_var,12,FiO2,4744,0.17993239055775528,1.1454477957362932,1.199549270385035
external_test,ridge_var,12,pH,4405,0.059134233803854554,0.08080225384105437,0.6570470422650516
external_test,ridge_var,12,PaCO2,4421,6.122050107828402,8.952027410171842,0.6802277897587113
external_test,ridge_var,12,SaO2,3774,2.7152822750457957,4.283902966419519,0.5430564550091591
