split,model,horizon_hours,variable,observed_targets,mae,rmse,nmae
external_test,ridge_var,1,HR,27901,4.796616301447484,7.246668651815551,0.2131829467309993
external_test,ridge_var,1,O2Sat,27340,1.3474693000880682,2.2417838489515867,0.3849912285965909
external_test,ridge_var,1,Temp,11091,0.2653610100553148,0.4070149821280025,0.28229894686735685
external_test,ridge_var,1,SBP,27367,10.780112726746184,14.776135332465282,0.37172802506021324
external_test,ridge_var,1,MAP,27192,7.423281465007354,10.671517635661631,0.39069902447407123
external_test,ridge_var,1,DBP,27361,6.2889267640632385,9.321894128840253,0.3930579227539524
external_test,ridge_var,1,Resp,24857,2.3689096959350424,3.533404543614302,0.3384156708478632
external_test,ridge_var,1,BaseExcess,86,2.0086110019300305,2.484024552345129,0.5021527504825076
external_test,ridge_var,1,HCO3,74,1.667383022183684,2.1566849895065676,0.3334766044367368
external_test,ridge_var,1,FiO2,807,0.16590865164209245,1.7864869179688927,1.1060576776139495
external_test,ridge_var,1,pH,760,0.05135790456701377,0.0737035652598801,0.5706433840779317
external_test,ridge_var,1,PaCO2,767,5.643351791594538,8.704543073249551,0.6270390879549487
external_test,ridge_var,1,SaO2,648,1.9006388829642542,3.4969180727087674,0.38012777659285085
external_test,ridge_var,1,BUN,1660,6.140923825033942,12.160407670128482,0.3612308132372907
external_test,ridge_var,1,Chloride,229,2.2087492419362524,3.6518097715511586,0.3155356059908932
external_test,ridge_var,1,Creatinine,1662,0.41125304080187647,1.2599772251881147,0.5875043440026807
external_test,ridge_var,1,Glucose,7394,21.1467071496579,33.537007799335775,0.45971102499256306
external_test,ridge_var,1,Magnesium,1477,0.2546850787275776,0.3606762103993274,0.6367126968189438
external_test,ridge_var,1,Phosphate,913,0.808823504339704,1.1587100356389681,0.5392156695598026
external_test,ridge_var,1,Potassium,2433,0.3844115991838606,0.6079114936481572,0.5491594274055149
external_test,ridge_var,1,Hct,1815,3.167895033604042,4.519359456502467,0.519327054689187
external_test,ridge_var,1,Hgb,1826,1.0886777680736186,1.5796486010183681,0.4948535309425541
external_test,ridge_var,1,WBC,1607,2.6452482196595253,7.185998484488018,0.42665293865476206
external_test,ridge_var,1,Platelets,1644,34.881634275690395,55.179642503924065,0.29068028563075327
external_test,ridge_var,3,HR,27960,6.473923449308944,9.249584213000333,0.2877299310803975
external_test,ridge_var,3,O2Sat,27358,1.632947188131663,2.477291498837521,0.46655633946618946
external_test,ridge_var,3,Temp,11015,0.3405098314789626,0.4778661536349457,0.3622445015733653
