epoch,train_loss,train_value_nll,train_mask_bce,train_kl,validation_loss,validation_value_nll,validation_mask_bce,validation_kl
1,2.0121495151733604,1.9136864428028397,0.3938522834681609,0.0,0.924386414946342,0.8455439258594902,0.3153699453996152,0.0
2,0.883100333235189,0.8065682834039355,0.30612820654172,0.0,0.8442867410426237,0.7690083396678068,0.30111359394326503,0.0
3,0.8309088755616159,0.7572824546039907,0.29450568062307586,0.0,0.8162150431652458,0.7432559886757208,0.29183620579388675,0.0
4,0.8040398198927464,0.7322689075641033,0.28708365011642867,0.0,0.7940239723847837,0.7225306082744988,0.2859734418440838,0.0
5,0.7842591495791893,0.7136927899223806,0.2822654387608772,0.0,0.7791399177239866,0.7086845964801555,0.28182128254248173,0.0
6,0.7687936628345952,0.6991266573491118,0.2786680196700075,0.0,0.7672867957426577,0.6976236263099982,0.27865269293590467,0.0
7,0.7582921960428691,0.6894026663271301,0.27555812220402365,0.0,0.7581021627601312,0.6890659575559654,0.2761448153427669,0.0
8,0.7490742067585077,0.6807251433620538,0.2733962525166738,0.0,0.7505543973981118,0.6819798508468939,0.2742981776899221,0.0
9,0.7407476404857208,0.672884154212849,0.27145394535877243,0.0,0.7478188239798254,0.679723394160368,0.27238171441214426,0.0
10,0.7356584785765062,0.6682069349716597,0.26980617896323783,0.0,0.741972633770534,0.6742157011615987,0.27102772192079194,0.0
11,0.7297499417724096,0.6626442483722361,0.2684227754716916,0.0,0.7364674295697894,0.6690483202739638,0.26967642623551036,0.0
12,0.7248591275493126,0.6580662850307242,0.26717136212261267,0.0,0.7346359089929231,0.6674740484782627,0.26864741773021467,0.0
13,0.7194656590709771,0.6529141838240516,0.2662058949069592,0.0,0.7288778351277722,0.6619578235003413,0.2676800690135177,0.0
14,0.7159538953293599,0.6496187918923896,0.2653404158861648,0.0,0.7292762313570295,0.6625415244880988,0.266938820177195,0.0
15,0.712567796621622,0.6464286593578321,0.2645565435089873,0.0,0.7251194009975511,0.6585955145407696,0.2660955324464915,0.0
16,0.7090118436535378,0.6430846393910225,0.2637088225962335,0.0,0.7233960713659014,0.6570324934258753,0.2654542932096793,0.0
17,0.7073124141971092,0.6415954871027993,0.26286770296471,0.0,0.7224400785504556,0.6562428693382107,0.26478883624076843,0.0
18,0.7031986587785285,0.637589583482443,0.2624363007165926,0.0,0.7206613737709668,0.6545992031389353,0.26424867431728205,0.0
19,0.7007200774055959,0.6352678238009124,0.2618090140846278,0.0,0.7196080830632424,0.6536822209552843,0.26370343961277787,0.0
20,0.6989649782800889,0.6336525435404927,0.26124973267717744,0.0,0.7176515119416373,0.6518225536054495,0.2633158245256969,0.0
