epoch,train_loss,train_value_nll,train_mask_bce,train_kl,validation_loss,validation_value_nll,validation_mask_bce,validation_kl
1,2.5268499463662972,2.4297022517486537,0.3885907021605915,0.0,0.9262964092955297,0.8463835217514817,0.31965155565008824,0.0
2,0.8849462404379396,0.8073802037089395,0.31026415239535104,0.0,0.8450243619023537,0.7687985884899996,0.3049031058136298,0.0
3,0.8316083248420681,0.757321938805516,0.29714554067149823,0.0,0.8167114245648287,0.7433288231187937,0.2935304045677185,0.0
4,0.802599976148306,0.7306659945992611,0.28773592071682885,0.0,0.793582876117862,0.722076706740321,0.2860246781183749,0.0
5,0.7827790390215648,0.7123198677606112,0.28183669426516034,0.0,0.7755291267317168,0.7052061545605562,0.281291913013069,0.0
6,0.7670796131339308,0.6975591794792312,0.2780817248628813,0.0,0.7685895756799348,0.6990581665720258,0.2781256510286915,0.0
7,0.7564810554542883,0.6877431669042784,0.27495156088217493,0.0,0.7608798413860555,0.6920060369433189,0.275495209255997,0.0
8,0.7464494111826602,0.6782848233599299,0.2726583500881366,0.0,0.7514336595729906,0.6830380996879266,0.2735822225103573,0.0
9,0.7394932818519695,0.6717594616081682,0.270935291466157,0.0,0.7459429125396573,0.6779805981383031,0.2718492533479418,0.0
10,0.7323807028911573,0.6650802736325114,0.26920171449537234,0.0,0.7423212686363532,0.6747072387714775,0.27045610851171065,0.0
11,0.7274403344889927,0.660458108769404,0.2679289074222069,0.0,0.7415425205717281,0.6742125919886998,0.2693197225429574,0.0
12,0.7224152304666459,0.6557329120657369,0.26672927387092144,0.0,0.7339993046254528,0.6669202544251267,0.26831621722299226,0.0
13,0.7187942811726454,0.6523031244898057,0.2659646306069977,0.0,0.7281167288215793,0.6612709042977314,0.26738330204876104,0.0
14,0.7149350838276303,0.6486890612696319,0.26498408669046225,0.0,0.7282552585309866,0.6615846351701387,0.26668250621581563,0.0
15,0.7113121766680559,0.6452234611917504,0.2643548603683309,0.0,0.7244145480953917,0.6579475804251067,0.26586788132482647,0.0
16,0.7076728862497305,0.6417982949804297,0.26349836487673856,0.0,0.7240020352966932,0.6577063263679037,0.26518282872073506,0.0
17,0.704566562389579,0.6388785031878895,0.2627522376754359,0.0,0.7229591644540125,0.656809366479212,0.26459919433204493,0.0
18,0.7024363872716245,0.6368510405044384,0.2623413864005307,0.0,0.7193074895411121,0.6532773010584773,0.26412076731117407,0.0
19,0.6999705783989397,0.6345542166799708,0.26166544400255776,0.0,0.7242811115420594,0.6583908455712455,0.26356107391873185,0.0
20,0.696927126480325,0.6315843214368606,0.2613712191715369,0.0,0.7171401770747438,0.6513758849124519,0.2630571853749606,0.0
