split,model,horizon_hours,constraint,violations,generated_states,violations_per_1000_states
external_calibration,grud,1,FiO2_bounds,70,66280,1.056125528062764
external_calibration,grud,1,O2Sat_bounds,8175,66280,123.34037417018709
external_calibration,grud,1,SaO2_bounds,505,66280,7.619191309595655
external_calibration,grud,1,emitted_FiO2_bounds,841,66280,12.688593844296921
external_calibration,grud,1,emitted_O2Sat_bounds,9005,66280,135.86300543150273
external_calibration,grud,1,emitted_SaO2_bounds,13779,66280,207.89076644538324
external_calibration,grud,1,emitted_pressure_order,6359,66280,95.94146047073023
external_calibration,grud,1,pressure_order,5620,66280,84.7917923958962
external_calibration,grud,3,FiO2_bounds,147,66280,2.2178636089318045
external_calibration,grud,3,O2Sat_bounds,8972,66280,135.36511768255883
external_calibration,grud,3,SaO2_bounds,1273,66280,19.20639710319855
external_calibration,grud,3,emitted_FiO2_bounds,743,66280,11.210018105009052
external_calibration,grud,3,emitted_O2Sat_bounds,9037,66280,136.34580567290283
external_calibration,grud,3,emitted_SaO2_bounds,13924,66280,210.07845503922752
external_calibration,grud,3,emitted_pressure_order,7425,66280,112.02474351237176
external_calibration,grud,3,pressure_order,7376,66280,111.28545564272783
external_calibration,grud,6,FiO2_bounds,223,66280,3.364514182257091
external_calibration,grud,6,O2Sat_bounds,8508,66280,128.3645141822571
external_calibration,grud,6,SaO2_bounds,2172,66280,32.77006638503319
external_calibration,grud,6,emitted_FiO2_bounds,725,66280,10.938442969221484
external_calibration,grud,6,emitted_O2Sat_bounds,8537,66280,128.80205190102595
external_calibration,grud,6,emitted_SaO2_bounds,13704,66280,206.7592033796017
external_calibration,grud,6,emitted_pressure_order,8494,66280,128.15328907664454
external_calibration,grud,6,pressure_order,8771,66280,132.33252866626432
external_calibration,grud,12,FiO2_bounds,291,66280,4.390464695232348
external_calibration,grud,12,O2Sat_bounds,7734,66280,116.68678334339167
external_calibration,grud,12,SaO2_bounds,3557,66280,53.66626433313217
external_calibration,grud,12,emitted_FiO2_bounds,770,66280,11.617380808690404
external_calibration,grud,12,emitted_O2Sat_bounds,7786,66280,117.47133373566687
external_calibration,grud,12,emitted_SaO2_bounds,13176,66280,198.7929993964997
external_calibration,grud,12,emitted_pressure_order,9654,66280,145.6547978273989
external_calibration,grud,12,pressure_order,10239,66280,154.48098974049486
external_calibration,grud,24,FiO2_bounds,395,66280,5.95956547978274
external_calibration,grud,24,O2Sat_bounds,7289,66280,109.97284248642124
external_calibration,grud,24,SaO2_bounds,5417,66280,81.72902836451418
external_calibration,grud,24,emitted_FiO2_bounds,840,66280,12.673506336753169
external_calibration,grud,24,emitted_O2Sat_bounds,7332,66280,110.62160531080265
external_calibration,grud,24,emitted_SaO2_bounds,12813,66280,193.31623415811708
external_calibration,grud,24,emitted_pressure_order,10834,66280,163.45805672902836
external_calibration,grud,24,pressure_order,11516,66280,173.74773687386843
