epoch,train_loss,train_value_nll,train_mask_bce,train_kl,validation_loss,validation_value_nll,validation_mask_bce,validation_kl
1,1.8337050136429311,1.6982539830721013,0.43824562604117284,25.88961602967951,0.7574416094896744,0.6560367224167805,0.33269891751055813,18.230158903160874
2,0.44186901598500566,0.3238825606675025,0.32535056803258544,36.64881094688792,0.18508686581436468,0.05291063112814968,0.3238335397778725,51.217848096575054
3,-0.1007794371467802,-0.24903769048365176,0.3213413864240518,67.92290245364065,-0.31887292588243676,-0.4786213599905676,0.32256951015822743,79.10605029670559
4,-0.42470800408867976,-0.5898286509139655,0.3210655772899833,84.85424931273867,-0.5112499679837909,-0.6822299677498487,0.3225904855192924,90.33237036880182
5,-0.5863307234684982,-0.7604173330147438,0.3211477632747103,93.79966445033325,-0.8262900345179499,-1.0038294451577323,0.3225957921573094,96.89046011165696
6,-0.672995869788621,-0.8524140531840346,0.321211137579161,99.11539243689568,-0.5035105554424987,-0.6852090723660528,0.3224252942873507,101.09218488420758
7,-0.8341186415454197,-1.016606587198283,0.32094184045299823,102.25248215337506,-0.8577570501638918,-1.0424768900384709,0.3223652261860517,104.1285288285236
8,-0.893916309948994,-1.0792048251415047,0.32090746273908916,105.0616448577744,-1.045399542973966,-1.2324560929317863,0.322245792466767,106.49510441994181
9,-0.9006855519897735,-1.0877213679220645,0.3208665683397798,106.81917158049853,-1.073936508626354,-1.2622036982555778,0.32214932599846197,107.72985341597577
10,-0.9078448366357073,-1.0960531573859567,0.3206865327775211,108.0366838053203,-1.12927795429619,-1.318631033508145,0.32204430443899973,108.84198916688257
11,-1.0596070869955247,-1.2489557936620552,0.32066766403181135,109.18179283655277,-1.221401606287275,-1.411870345777395,0.3219963537186992,109.96965073566048
12,-1.1741316238326343,-1.3644959477565748,0.3205209190000868,110.23409052280033,-1.3686661404006335,-1.560091386035997,0.3219665842396872,110.9336027807119
13,-1.0717396332209954,-1.2628811870455208,0.3206786060279795,110.97189618439953,-0.826055113150149,-1.0180121623739904,0.3218763257775988,111.48795941411232
14,-1.1214480763593597,-1.3131030918236806,0.3204584173824755,111.54040657351369,-1.19167524454545,-1.3841852192976036,0.3217776752248102,112.0655565845723
15,-1.2622031149842814,-1.454546700144028,0.3205388550533842,112.20886001244789,-1.340777457976828,-1.5339391718105393,0.32170518807002474,112.73542007134886
16,-1.2392613736770612,-1.432063685671631,0.320161300389756,112.76197890208975,-1.0571651495232874,-1.2507445131029402,0.3215874244972151,113.18250290228396
