epoch,train_loss,train_value_nll,train_mask_bce,train_kl,validation_loss,validation_value_nll,validation_mask_bce,validation_kl
1,1.6194249375518661,1.489015833679336,0.4326357073046167,22.250171992810852,0.6827721170016697,0.5776536099764765,0.32789116976212485,23.145711626325333
2,0.3402331218190257,0.2159393460159879,0.3220772050955905,43.77447283962917,-0.021897769704156994,-0.16793954091108576,0.3216293691372385,65.63442619479433
3,-0.10280538731225403,-0.25799672292219683,0.31974151757265956,75.25595263836095,-0.11075752426166924,-0.27254605080400196,0.32115818347249714,81.49897828394053
4,-0.219863425288767,-0.38499915895507475,0.3197053833927274,85.2093827115046,-0.10594872750189839,-0.27434871056858373,0.32087720231134065,88.18067932128906
5,-0.2696509442120924,-0.43984481676444076,0.3194249844337258,90.33762339091622,-0.43392519865717205,-0.6065820461633255,0.32068260470215154,92.48619250861965
6,-0.4264006455316137,-0.5999173875480489,0.31918160049370053,93.72133838328546,-0.5965822892529624,-0.7724793626337635,0.3205391934939793,95.76227647431043
7,-0.5478779139673763,-0.7249433941504346,0.31898776485246394,97.31853478264915,-0.6612005781154243,-0.8403065970965794,0.32041205496204145,99.00300816127232
8,-0.5637606069311968,-0.7433872329146338,0.3188964292874785,99.90251169931729,-0.5390172819701993,-0.7200047921161262,0.32020452253672543,100.93637474215761
9,-0.5926711021383781,-0.7735428784059302,0.31858845810184566,101.22465607510554,-0.352230717637101,-0.5346162410414949,0.3201094835388417,102.35815009292291
10,-0.5243320376215495,-0.7065408016166612,0.3185388165204514,102.57405473512384,-0.26418335583745217,-0.44724979084365224,0.31987252831459045,103.0982964963329
11,-0.6036326854485567,-0.7863233772862385,0.3182850819532112,103.11941973083222,-0.43446765992106223,-0.618279503924506,0.3196997788487648,103.88689547168966
