split,horizon_hours,locf_nmae,ridge_nmae,ridge_relative_improvement_vs_locf
external_test,1,0.3852637821507965,0.3609548725896776,0.0630967941637558
external_test,3,0.4613848849535537,0.4251147779893979,0.07861138963797436
external_test,6,0.5223365130796808,0.4782229841148362,0.08445423182222601
external_test,12,0.5752986591510478,0.5300539742222082,0.07864555950053127
external_test,24,0.6033291539173524,0.5862053668638448,0.028382164101178685
internal_test,1,0.3656905092424367,0.3416648560641512,0.06569941677747379
internal_test,3,0.443160874075707,0.4089828251615893,0.07712334484717825
internal_test,6,0.5004412454937223,0.4592656116444388,0.08227865752484223
internal_test,12,0.5525316803882975,0.5102423620124077,0.07653736405878214
internal_test,24,0.5998320297536802,0.5664272839548364,0.055690166816469225
