model,model_label,horizon_hours,internal_patients,external_patients,internal_mean_nmae,external_mean_nmae,absolute_degradation,absolute_ci_95_lower,absolute_ci_95_upper,relative_degradation_percent,relative_ci_95_lower,relative_ci_95_upper,resampling
locf,Last observation carried forward,12,1806,10178,0.5525316803882975,0.5752986591510478,0.0227669787627503,0.0115138358429017,0.0349087487556472,4.120483869223683,2.0566251946817102,6.431040741847347,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
global_median,Global median,12,1806,10178,0.6196818214300599,0.6634230813143884,0.0437412598843285,0.0316703602511785,0.055564606761732,7.058664361556613,5.022544443444593,9.11027509464539,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
hourly_median,Hourly median,12,1806,10178,0.6179801683956204,0.6617272366683973,0.0437470682727768,0.0313961484307542,0.0557763848388727,7.079040802612088,4.999058999697327,9.180756718216248,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
ridge_var,Ridge vector autoregression,12,1806,10178,0.5102423620124077,0.5300539742222082,0.0198116122098005,0.0102029391286951,0.0288752581139163,3.882784669556461,1.97373863212326,5.739167306230824,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
grud,Probabilistic GRU-D-style model,12,1806,10178,0.4971111275830272,0.5215633530383685,0.0244522254553413,0.0154532809761748,0.0336805040851966,4.918865038131201,3.0629298196766017,6.875299571792173,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
transformer,Causally masked Transformer,12,1806,10178,0.4950601603862588,0.5207278077166554,0.0256676473303966,0.0165734549164829,0.0345858310165543,5.184753164215446,3.302809310007067,7.102592811553341,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
rssm,Recurrent state-space model,12,1806,10178,0.5941416299775892,0.6219893636846973,0.027847733707108,0.0164781151112061,0.0384062888397471,4.6870531035097525,2.7306055098507795,6.5699255617509476,Independent patient bootstrap within internal and external cohorts after averaging the fixed neural seeds.
