split,model,horizon_hours,constraint,seeds,mean,standard_deviation,minimum,maximum
external_test,global_median,1,pressure_order,1,0.0,0.0,0.0,0.0
external_test,global_median,3,pressure_order,1,0.0,0.0,0.0,0.0
external_test,global_median,6,pressure_order,1,0.0,0.0,0.0,0.0
external_test,global_median,12,pressure_order,1,0.0,0.0,0.0,0.0
external_test,global_median,24,pressure_order,1,0.0,0.0,0.0,0.0
external_test,grud,1,pressure_order,5,95.29556650246306,5.0117379698715405,91.311986863711,102.63218390804596
external_test,grud,3,pressure_order,5,121.42889983579636,4.945731495895969,115.34811165845647,128.57635467980296
external_test,grud,6,pressure_order,5,140.07651888341545,5.334992628751126,132.33169129720855,147.33825944170772
external_test,grud,12,pressure_order,5,161.06666666666666,6.562248236038831,151.73563218390805,168.22824302134646
external_test,grud,24,pressure_order,5,181.6518883415435,10.071316297402612,171.14285714285714,197.1264367816092
external_test,hourly_median,1,pressure_order,1,0.0,0.0,0.0,0.0
external_test,hourly_median,3,pressure_order,1,0.0,0.0,0.0,0.0
external_test,hourly_median,6,pressure_order,1,0.0,0.0,0.0,0.0
external_test,hourly_median,12,pressure_order,1,0.0,0.0,0.0,0.0
external_test,hourly_median,24,pressure_order,1,0.0,0.0,0.0,0.0
external_test,locf,1,pressure_order,1,5.320197044334975,0.0,5.320197044334975,5.320197044334975
external_test,locf,3,pressure_order,1,5.320197044334975,0.0,5.320197044334975,5.320197044334975
external_test,locf,6,pressure_order,1,5.320197044334975,0.0,5.320197044334975,5.320197044334975
external_test,locf,12,pressure_order,1,5.320197044334975,0.0,5.320197044334975,5.320197044334975
external_test,locf,24,pressure_order,1,5.320197044334975,0.0,5.320197044334975,5.320197044334975
external_test,ridge_var,1,pressure_order,1,3.0213464696223316,0.0,3.0213464696223316,3.0213464696223316
external_test,ridge_var,3,pressure_order,1,2.561576354679803,0.0,2.561576354679803,2.561576354679803
external_test,ridge_var,6,pressure_order,1,1.6420361247947457,0.0,1.6420361247947457,1.6420361247947457
external_test,ridge_var,12,pressure_order,1,0.6239737274220033,0.0,0.6239737274220033,0.6239737274220033
external_test,ridge_var,24,pressure_order,1,0.1313628899835796,0.0,0.1313628899835796,0.1313628899835796
external_test,rssm,1,pressure_order,5,30.90147783251232,7.302966418091954,24.97536945812808,39.35139573070607
external_test,rssm,3,pressure_order,5,11.984564860426929,3.6335281320580664,8.48111658456486,17.119868637110017
external_test,rssm,6,pressure_order,5,4.518226600985221,1.940712207960454,2.3793103448275863,7.152709359605911
external_test,rssm,12,pressure_order,5,2.495894909688013,1.254241001076793,1.2151067323481115,3.893267651888342
external_test,rssm,24,pressure_order,5,1.9931034482758625,1.1984048300627412,0.8768472906403941,3.605911330049261
external_test,transformer,1,pressure_order,5,107.33136288998358,14.72764972441724,84.86535303776684,121.73070607553366
external_test,transformer,3,pressure_order,5,150.43021346469624,19.281340514189516,124.94909688013136,170.3054187192118
external_test,transformer,6,pressure_order,5,173.45188834154354,20.800667148142747,148.98357963875205,198.8653530377668
external_test,transformer,12,pressure_order,5,204.91986863711,23.372375825212345,183.60919540229884,239.6256157635468
external_test,transformer,24,pressure_order,5,240.33858784893263,28.980946628512992,221.3727422003284,289.3316912972085
