model,seed,trajectory_samples,patients_requested,patient_subset_sha256,horizon_hours,metric,value,panel_quantity,panel_value,constraint,violations_per_1000_states
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,,,pressure_order,145.05562422744129,pressure_order,145.05562422744129
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,,,pressure_order,169.283065512979,pressure_order,169.283065512979
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,,,pressure_order,146.86032138442522,pressure_order,146.86032138442522
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,,,pressure_order,167.07045735475896,pressure_order,167.07045735475896
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,,,pressure_order,147.97280593325092,pressure_order,147.97280593325092
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,,,pressure_order,169.1038318912237,pressure_order,169.1038318912237
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,,,pressure_order,184.17799752781212,pressure_order,184.17799752781212
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,,,pressure_order,220.27194066749072,pressure_order,220.27194066749072
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,,,pressure_order,183.34981458590852,pressure_order,183.34981458590852
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,,,pressure_order,219.36959208899876,pressure_order,219.36959208899876
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,,,pressure_order,184.56118665018545,pressure_order,184.56118665018545
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,,,pressure_order,219.2707045735476,pressure_order,219.2707045735476
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,,,pressure_order,3.955500618046971,pressure_order,3.955500618046971
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,,,pressure_order,2.688504326328801,pressure_order,2.688504326328801
rssm,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,,,pressure_order,3.4981458590852905,pressure_order,3.4981458590852905
rssm,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,,,pressure_order,3.016069221260816,pressure_order,3.016069221260816
rssm,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,,,pressure_order,3.77008652657602,pressure_order,3.77008652657602
rssm,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,,,pressure_order,2.527812113720642,pressure_order,2.527812113720642
