split,model,horizon_hours,variable,targets,brier
external_test,transformer,24,BaseExcess,30450,0.0067730183153121145
external_test,transformer,24,HCO3,30450,0.006757482178203382
external_test,transformer,24,FiO2,30450,0.025980528609212395
external_test,transformer,24,pH,30450,0.020313985860724557
external_test,transformer,24,PaCO2,30450,0.018030386898048797
external_test,transformer,24,SaO2,30450,0.014022445361594835
external_test,transformer,24,BUN,30450,0.0475942590369037
external_test,transformer,24,Chloride,30450,0.009459668400105585
external_test,transformer,24,Creatinine,30450,0.04721181782687386
external_test,transformer,24,Glucose,30450,0.17747163461738424
external_test,transformer,24,Magnesium,30450,0.04503352092820631
external_test,transformer,24,Phosphate,30450,0.026271221738534998
external_test,transformer,24,Potassium,30450,0.06302292396013177
external_test,transformer,24,Hct,30450,0.051265305057045664
external_test,transformer,24,Hgb,30450,0.050162383052222245
external_test,transformer,24,WBC,30450,0.0453603853203344
external_test,transformer,24,Platelets,30450,0.04613269890378702
internal_test,transformer,1,HR,5143,0.05150041966361339
internal_test,transformer,1,O2Sat,5143,0.07336940525247039
internal_test,transformer,1,Temp,5143,0.1939704015332392
internal_test,transformer,1,SBP,5143,0.06150964097756021
internal_test,transformer,1,MAP,5143,0.0655824938753155
internal_test,transformer,1,DBP,5143,0.03686621581768679
internal_test,transformer,1,Resp,5143,0.06172137220569235
internal_test,transformer,1,BaseExcess,5143,0.08421152613473244
internal_test,transformer,1,HCO3,5143,0.06746257542868475
internal_test,transformer,1,FiO2,5143,0.11975709737888598
internal_test,transformer,1,pH,5143,0.09108225625618965
internal_test,transformer,1,PaCO2,5143,0.07627417485282367
internal_test,transformer,1,SaO2,5143,0.038913657318039634
internal_test,transformer,1,BUN,5143,0.06830885237393944
internal_test,transformer,1,Chloride,5143,0.06728372028220286
internal_test,transformer,1,Creatinine,5143,0.05940461862233277
internal_test,transformer,1,Glucose,5143,0.0962572428657692
internal_test,transformer,1,Magnesium,5143,0.06763716824620748
internal_test,transformer,1,Phosphate,5143,0.04854997782746155
internal_test,transformer,1,Potassium,5143,0.08560200247949092
internal_test,transformer,1,Hct,5143,0.09441234906452675
internal_test,transformer,1,Hgb,5143,0.07362479216019142
internal_test,transformer,1,WBC,5143,0.06228804531529467
internal_test,transformer,1,Platelets,5143,0.058096552622960325
internal_test,transformer,3,HR,5143,0.055858430360834495
internal_test,transformer,3,O2Sat,5143,0.08258919947207172
internal_test,transformer,3,Temp,5143,0.19796342959136043
internal_test,transformer,3,SBP,5143,0.07570948441761513
internal_test,transformer,3,MAP,5143,0.07161429460100133
internal_test,transformer,3,DBP,5143,0.06198322724303962
internal_test,transformer,3,Resp,5143,0.0701305642564682
internal_test,transformer,3,BaseExcess,5143,0.09106399342866808
internal_test,transformer,3,HCO3,5143,0.07226993309577662
internal_test,transformer,3,FiO2,5143,0.11973872259853184
internal_test,transformer,3,pH,5143,0.09709351617446697
internal_test,transformer,3,PaCO2,5143,0.08107711444586231
internal_test,transformer,3,SaO2,5143,0.043220509999144105
internal_test,transformer,3,BUN,5143,0.07261884599582198
internal_test,transformer,3,Chloride,5143,0.07410306375869953
internal_test,transformer,3,Creatinine,5143,0.05974845984277386
internal_test,transformer,3,Glucose,5143,0.09794394174438957
internal_test,transformer,3,Magnesium,5143,0.07248539426737946
internal_test,transformer,3,Phosphate,5143,0.048722555775042524
internal_test,transformer,3,Potassium,5143,0.0935626594839035
internal_test,transformer,3,Hct,5143,0.0978626130304864
internal_test,transformer,3,Hgb,5143,0.07462043308653118
internal_test,transformer,3,WBC,5143,0.06354702896565842
internal_test,transformer,3,Platelets,5143,0.05566504000806169
internal_test,transformer,6,HR,5143,0.06079269037296771
internal_test,transformer,6,O2Sat,5143,0.09102429862433131
internal_test,transformer,6,Temp,5143,0.20680380873519716
internal_test,transformer,6,SBP,5143,0.09061092401371376
internal_test,transformer,6,MAP,5143,0.07612094338153925
internal_test,transformer,6,DBP,5143,0.08513989352122972
internal_test,transformer,6,Resp,5143,0.07148064881847128
internal_test,transformer,6,BaseExcess,5143,0.08691729331976149
internal_test,transformer,6,HCO3,5143,0.057587491041627026
internal_test,transformer,6,FiO2,5143,0.1253078070081859
internal_test,transformer,6,pH,5143,0.0921430325151162
internal_test,transformer,6,PaCO2,5143,0.0788313628355631
internal_test,transformer,6,SaO2,5143,0.03924638742244236
internal_test,transformer,6,BUN,5143,0.05832832042818145
internal_test,transformer,6,Chloride,5143,0.0594948549609506
internal_test,transformer,6,Creatinine,5143,0.05044926414688158
internal_test,transformer,6,Glucose,5143,0.09231370301555386
internal_test,transformer,6,Magnesium,5143,0.059343503058339145
internal_test,transformer,6,Phosphate,5143,0.04124890344339471
internal_test,transformer,6,Potassium,5143,0.08015004767533432
internal_test,transformer,6,Hct,5143,0.08793387871040761
internal_test,transformer,6,Hgb,5143,0.06539483077790796
internal_test,transformer,6,WBC,5143,0.05295516810724528
internal_test,transformer,6,Platelets,5143,0.049067921374422695
internal_test,transformer,12,HR,5143,0.05794250631341669
internal_test,transformer,12,O2Sat,5143,0.09280667953075844
internal_test,transformer,12,Temp,5143,0.21203505740238957
internal_test,transformer,12,SBP,5143,0.10528713062582326
internal_test,transformer,12,MAP,5143,0.07579094856461731
internal_test,transformer,12,DBP,5143,0.12389392461522693
internal_test,transformer,12,Resp,5143,0.07197449088166155
internal_test,transformer,12,BaseExcess,5143,0.07680846944352822
internal_test,transformer,12,HCO3,5143,0.05827131237521052
internal_test,transformer,12,FiO2,5143,0.11851241962700625
internal_test,transformer,12,pH,5143,0.08292070833157408
internal_test,transformer,12,PaCO2,5143,0.0680069659240638
internal_test,transformer,12,SaO2,5143,0.03360836926536048
internal_test,transformer,12,BUN,5143,0.05901495234734025
internal_test,transformer,12,Chloride,5143,0.06050470300437457
internal_test,transformer,12,Creatinine,5143,0.050700555440171
internal_test,transformer,12,Glucose,5143,0.0855546374509197
internal_test,transformer,12,Magnesium,5143,0.06121926318804114
internal_test,transformer,12,Phosphate,5143,0.04307878695409539
internal_test,transformer,12,Potassium,5143,0.0787387833436732
internal_test,transformer,12,Hct,5143,0.0828244083937842
internal_test,transformer,12,Hgb,5143,0.06407063251428977
internal_test,transformer,12,WBC,5143,0.05368237574926128
internal_test,transformer,12,Platelets,5143,0.049392804544004
internal_test,transformer,24,HR,5143,0.07412509961789299
internal_test,transformer,24,O2Sat,5143,0.1098602177821869
internal_test,transformer,24,Temp,5143,0.20930292730129302
internal_test,transformer,24,SBP,5143,0.13537777821516542
internal_test,transformer,24,MAP,5143,0.09310801094569934
internal_test,transformer,24,DBP,5143,0.18074402724771724
internal_test,transformer,24,Resp,5143,0.08660625915408668
internal_test,transformer,24,BaseExcess,5143,0.06423427597131567
internal_test,transformer,24,HCO3,5143,0.05752677020919061
internal_test,transformer,24,FiO2,5143,0.10967982253420105
internal_test,transformer,24,pH,5143,0.06869451119559947
internal_test,transformer,24,PaCO2,5143,0.05594782453322258
internal_test,transformer,24,SaO2,5143,0.02764700317040552
internal_test,transformer,24,BUN,5143,0.05842098720616551
internal_test,transformer,24,Chloride,5143,0.05919701851876867
internal_test,transformer,24,Creatinine,5143,0.05016683259641709
internal_test,transformer,24,Glucose,5143,0.0757316959152281
internal_test,transformer,24,Magnesium,5143,0.05746885523962043
internal_test,transformer,24,Phosphate,5143,0.041663611535545736
internal_test,transformer,24,Potassium,5143,0.07073247073435167
internal_test,transformer,24,Hct,5143,0.07405503933563692
internal_test,transformer,24,Hgb,5143,0.06113870172168688
internal_test,transformer,24,WBC,5143,0.054651263597849255
internal_test,transformer,24,Platelets,5143,0.049233717646507025
