epoch,train_loss,train_value_nll,train_mask_bce,train_kl,validation_loss,validation_value_nll,validation_mask_bce,validation_kl
1,2.075600814391679,1.967076400470306,0.43409767947389405,0.0,1.0072536614476417,0.9240946952177553,0.33263588073302286,0.0
2,0.926936359416209,0.8461943250065962,0.32296813803937935,0.0,0.8867203812209927,0.8069747017354382,0.3189827319310636,0.0
3,0.8524438271073482,0.774476174549137,0.31187061237112823,0.0,0.8449045796783603,0.7676782255270043,0.30890542694500517,0.0
4,0.8225740025930875,0.7468569564712422,0.30286818542288024,0.0,0.8224085459903795,0.7472614974391704,0.3005882002869431,0.0
5,0.8034253711123103,0.7296190486360559,0.2952252884349481,0.0,0.807272769966904,0.7337648759082872,0.2940315774508885,0.0
6,0.7879533644748911,0.7155887952299931,0.2894582729703108,0.0,0.7959933195795331,0.7237450346654776,0.2889931506040145,0.0
7,0.7756749073486157,0.7043894900869361,0.28514166824486226,0.0,0.7880947541217415,0.7168327472647842,0.28504802925246103,0.0
8,0.7656875119080992,0.6952781532911977,0.28163743526946267,0.0,0.7780358694037612,0.707550717859852,0.2819406025263728,0.0
9,0.75843353095076,0.6887191125095693,0.2788576740320488,0.0,0.7707954924933764,0.700924855105731,0.2794825489423713,0.0
10,0.750520455997621,0.6814454756510098,0.27629992345790694,0.0,0.7652546094388378,0.6959229488762058,0.2773266398176855,0.0
11,0.7451522302199907,0.6765741636400265,0.2743122687922465,0.0,0.7596462235158804,0.6907862169401986,0.27544001170567106,0.0
12,0.7394539072374592,0.6712701758996253,0.27273492762326124,0.0,0.754616991597779,0.6861887136284186,0.273713117959548,0.0
13,0.7353549947118545,0.667595906375235,0.27103635628661765,0.0,0.7529446786763717,0.6848804172204466,0.27225704643191123,0.0
14,0.7304552985948297,0.66303436665257,0.269683731176928,0.0,0.7498903663790956,0.6821497204352398,0.270962589249319,0.0
15,0.7265528632920953,0.659499197530105,0.26821466652267184,0.0,0.7452280557885462,0.6777943810638116,0.26973468430188235,0.0
16,0.7232387346537124,0.6564418964856409,0.26718734585650833,0.0,0.7428546365426512,0.6756969836293435,0.26863061104501995,0.0
17,0.7198165190059508,0.6533196424154958,0.26598751484813177,0.0,0.7400717564991542,0.6731654454250725,0.267625238822431,0.0
18,0.7169914718700632,0.6506939025203209,0.2651902792031455,0.0,0.7406246151242938,0.6739435560849248,0.26672422764252646,0.0
19,0.7134312883086269,0.6474045132842299,0.26410710971986234,0.0,0.7356052021591031,0.6691355510633819,0.2658785940433035,0.0
20,0.7116324786648087,0.6458051052328717,0.26330949599967407,0.0,0.732611498054193,0.6663194250087349,0.2651682900530951,0.0
