model,horizon_hours,quantity_type,quantity,minimum,maximum,absolute_range,relative_range_percent,sample_counts
grud,1,metric,coverage_90,0.8470149057241304,0.9040050320852053,0.05699012636107492,6.473646188425739,"20,50,100"
grud,1,metric,mask_brier,0.06285881401590357,0.0628588141666146,1.5071102699160122e-10,2.397611682982573e-07,"20,50,100"
grud,1,metric,mean_interval_width_scaled,1.404756929669268,1.5701618111389417,0.1654048814696738,11.013832032527457,"20,50,100"
grud,1,metric,patient_crps,0.27441534852747584,0.2858156587617658,0.011400310234289945,4.087774791875282,"20,50,100"
grud,1,metric,patient_nll,0.8528050400528289,0.9164047187769758,0.06359967872414696,7.2413308229236755,"20,50,100"
grud,1,metric,patient_nmae,0.3697229073333475,0.3777230121854218,0.008000104852074308,2.1464607901303574,"20,50,100"
grud,3,metric,coverage_90,0.8466664448253417,0.8971521572668522,0.050485712441510455,5.753094884513295,"20,50,100"
grud,3,metric,mask_brier,0.059732557369818924,0.05986138901015845,0.00012883164033952732,0.21550868904197817,"20,50,100"
grud,3,metric,mean_interval_width_scaled,1.5909914547512674,1.7755930029098252,0.1846015481585579,10.867418794626461,"20,50,100"
grud,3,metric,patient_crps,0.30776885001518994,0.3197405582434902,0.011971708228300237,3.8288064751250213,"20,50,100"
grud,3,metric,patient_nll,0.8454636927150585,0.9178472623256025,0.07238356961054404,8.29771481335793,"20,50,100"
grud,3,metric,patient_nmae,0.41941997033785067,0.42890614145855166,0.009486171120700992,2.2417031182904523,"20,50,100"
grud,6,metric,coverage_90,0.83021638711093,0.8901544200575306,0.059938032946600606,6.934872505039928,"20,50,100"
grud,6,metric,mask_brier,0.06264615650470866,0.06264904980033102,2.893295622363734e-06,0.004618389426487453,"20,50,100"
grud,6,metric,mean_interval_width_scaled,1.7287583216499725,1.9306941827582411,0.20193586110826867,10.94096188853216,"20,50,100"
grud,6,metric,patient_crps,0.3526247843957775,0.36661754161177285,0.013992757215995355,3.9036521547377983,"20,50,100"
grud,6,metric,patient_nll,1.0294583639538368,1.1040470303121601,0.07458866635832329,7.011259266971614,"20,50,100"
grud,6,metric,patient_nmae,0.48313002757088624,0.49348851697720114,0.010358489406314897,2.1247592384450376,"20,50,100"
grud,12,metric,coverage_90,0.840092162172662,0.8944689831270476,0.05437682095438556,6.2316313462036135,"20,50,100"
grud,12,metric,mask_brier,0.06337282230277448,0.06357084425645108,0.00019802195367660258,0.3119210112052886,"20,50,100"
grud,12,metric,mean_interval_width_scaled,1.8724714056376477,2.0904489185891193,0.2179775129514716,10.905074684243713,"20,50,100"
grud,12,metric,patient_crps,0.3709252943547993,0.3851353719889393,0.014210077634140006,3.7747803949642953,"20,50,100"
grud,12,metric,patient_nll,1.0999173060390717,1.1947058310627652,0.0947885250236935,8.358961439999067,"20,50,100"
grud,12,metric,patient_nmae,0.5093809189127899,0.5218736798458552,0.012492760933065283,2.4318630392848877,"20,50,100"
grud,24,metric,coverage_90,0.846326554704193,0.9033327650659072,0.05700621036171416,6.476245876086111,"20,50,100"
