model,seed,trajectory_samples,patients_requested,patient_subset_sha256,horizon_hours,constraint,violations_per_1000_states
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_FiO2_bounds,16.526576019777504
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_O2Sat_bounds,130.35846724351052
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_SaO2_bounds,198.8627935723115
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_pressure_order,95.51297898640297
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,pressure_order,85.53770086526576
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,FiO2_bounds,2.6328800988875156
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,O2Sat_bounds,128.77626699629172
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,SaO2_bounds,19.011124845488258
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_FiO2_bounds,15.438813349814586
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_O2Sat_bounds,130.7416563658838
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_SaO2_bounds,198.59085290482076
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_pressure_order,108.91223733003709
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,pressure_order,109.17181705809641
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,FiO2_bounds,3.547589616810878
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,O2Sat_bounds,124.2027194066749
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,SaO2_bounds,32.47218788627936
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_FiO2_bounds,14.46229913473424
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_O2Sat_bounds,124.79604449938195
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_SaO2_bounds,194.40049443757727
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_pressure_order,121.70580964153275
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,pressure_order,124.98145859085291
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,FiO2_bounds,4.585908529048208
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,O2Sat_bounds,124.00494437577255
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,SaO2_bounds,52.43510506798517
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,emitted_FiO2_bounds,13.671199011124845
