split,model,horizon_hours,variable,observed_targets,nmae,crps_scaled,coverage_90,coverage_error_90,mean_interval_width_scaled,nll_scaled
external_calibration,transformer,1,HR,3025,0.22274120488442664,0.16939801917588415,0.8700826446280991,0.029917355371900878,0.8924066483678896,0.2677341011536023
external_calibration,transformer,1,O2Sat,2971,0.40998102847432816,0.31444661699935106,0.8996970716930327,0.00030292830696732054,1.6945403338842864,1.3918571696864037
external_calibration,transformer,1,Temp,1220,0.29764135450613305,0.2242868167455079,0.8418032786885246,0.05819672131147546,1.1390713754247446,0.47370510384684705
external_calibration,transformer,1,SBP,2972,0.37047965979030606,0.27271627625738787,0.8334454912516823,0.0665545087483177,1.321635316230086,0.7173056653819848
external_calibration,transformer,1,MAP,2959,0.3896171056406447,0.2950003903715463,0.8874619803987833,0.012538019601216699,1.6724241468784735,0.8346944514381277
external_calibration,transformer,1,DBP,2972,0.38780578710188934,0.29157905751891927,0.8539703903095559,0.04602960969044412,1.5240673306492103,0.7965747517499757
external_calibration,transformer,1,Resp,2654,0.3546519074659197,0.2655449510069835,0.8914845516201959,0.008515448379804114,1.5269250941617918,0.6584686974250201
external_calibration,transformer,1,BaseExcess,10,0.546291958540678,0.4008040055632591,0.8,0.09999999999999998,1.761572390794754,0.9392598688602447
external_calibration,transformer,1,HCO3,8,0.4295747857540846,0.31181622855365276,0.75,0.15000000000000002,1.511921837925911,0.854673333466053
external_calibration,transformer,1,FiO2,75,0.8012860798835755,0.5943418224652608,0.7333333333333333,0.16666666666666674,2.359965008099874,1.5533580338954927
external_calibration,transformer,1,pH,77,0.5857085912645638,0.43995143492500505,0.7012987012987013,0.1987012987012987,1.5608182417881953,1.374438129462205
external_calibration,transformer,1,PaCO2,77,0.6797734348030834,0.5035575181245804,0.7402597402597403,0.15974025974025974,1.7304593293697803,1.698434002213664
external_calibration,transformer,1,SaO2,62,1.1023367254003402,0.8128991148644878,0.967741935483871,0.06774193548387097,6.131545897453062,1.8223241759884743
external_calibration,transformer,1,BUN,190,0.4769110929024847,0.36232720397804913,0.8421052631578947,0.05789473684210533,1.4386413109929939,1.0404302586066096
external_calibration,transformer,1,Chloride,24,0.35577770027642447,0.258157712717851,0.9166666666666666,0.016666666666666607,1.3715353061755498,0.52142666776975
external_calibration,transformer,1,Creatinine,191,0.7826641819864043,0.6425814811939968,0.8743455497382199,0.02565445026178015,2.263708540906457,1.6798556237944757
external_calibration,transformer,1,Glucose,818,0.49147427577552705,0.37596538626477305,0.9083129584352079,0.008312958435207851,2.1184042835002423,1.0193368420915674
external_calibration,transformer,1,Magnesium,170,0.6831544495680753,0.5080716048969942,0.8588235294117647,0.04117647058823537,2.4872603192048914,1.3207211073707132
external_calibration,transformer,1,Phosphate,107,0.4622470861144155,0.3617370794309634,0.8691588785046729,0.03084112149532714,1.9245754914863087,1.174309935525199
external_calibration,transformer,1,Potassium,256,0.5233706721337512,0.40053275995887816,0.90234375,0.002343749999999978,2.3369981572031975,1.1936247083358467
external_calibration,transformer,1,Hct,204,0.4759526553691602,0.3625192951191874,0.7843137254901961,0.11568627450980395,1.5663263420848286,0.9281481437238992
external_calibration,transformer,1,Hgb,203,0.4877294563307551,0.36524325756016623,0.7980295566502463,0.10197044334975369,1.4245344635301036,1.3805717203417436
external_calibration,transformer,1,WBC,177,0.43401568378769073,0.31275308140590363,0.8361581920903954,0.06384180790960459,1.5833482701899642,0.7003701824252888
external_calibration,transformer,1,Platelets,179,0.3547335844799127,0.2563402223603686,0.7932960893854749,0.10670391061452511,1.148488715041283,0.6226567539422871
external_calibration,transformer,3,HR,3017,0.2867023801819394,0.21837673797329255,0.8780245276764999,0.021975472323500167,1.2466013930197144,0.49432355313653537
external_calibration,transformer,3,O2Sat,2959,0.46308571118364145,0.3420859114790978,0.9111186211557959,0.011118621155795871,2.113014319169437,0.9672440995876754
external_calibration,transformer,3,Temp,1229,0.3642354349085138,0.2735616353782238,0.870626525630594,0.029373474369406072,1.4778875082464504,0.7073138673873913
external_calibration,transformer,3,SBP,2971,0.43888157138676803,0.3236152811990929,0.8354089532144059,0.06459104678559413,1.5773007608912522,0.896882054300992
external_calibration,transformer,3,MAP,2946,0.45182505515021526,0.33417610400239384,0.8845892735913102,0.01541072640868979,1.9495195011985764,0.9037130398565786
external_calibration,transformer,3,DBP,2969,0.45753381452242425,0.3411754156532172,0.8932300437857864,0.006769956214213613,2.0419138455158055,0.9509517609290139
external_calibration,transformer,3,Resp,2646,0.41621199504768674,0.3069093722965532,0.8843537414965986,0.0156462585034014,1.7510264260428292,0.8190000610466898
external_calibration,transformer,3,BaseExcess,9,0.8425298233826956,0.6246457530392541,0.5555555555555556,0.34444444444444444,2.0010406838523016,1.6088343527581956
external_calibration,transformer,3,HCO3,7,0.43115059392792837,0.3286194311720984,0.7142857142857143,0.18571428571428572,1.4642703788621085,0.925757382597242
external_calibration,transformer,3,FiO2,58,1.0205188516912789,0.736457177277269,0.6551724137931034,0.2448275862068966,2.5851035385296264,1.7695651681258762
