split,horizon_hours,locf_nmae,ridge_nmae,ridge_relative_improvement_vs_locf
external_test,1,0.389703780371624,0.3639316358737308,0.06613265201922533
external_test,3,0.4563745057055147,0.4190978886308113,0.08167988485044099
external_test,6,0.5107951362143928,0.4674857651244089,0.08478814307230575
external_test,12,0.5624808991871643,0.5227863856748337,0.070570420381728
external_test,24,0.5980703054941141,0.5830136933287438,0.02517532140795867
internal_test,1,0.3759425088753156,0.3500063348060553,0.06898973501786743
internal_test,3,0.4410817363162679,0.4049216164418133,0.08198054214724229
internal_test,6,0.4911612495130427,0.4486833630705382,0.08648460456646123
internal_test,12,0.54306645997618,0.5018164144796249,0.075957637852215
internal_test,24,0.5907241665285059,0.5580463584785281,0.05531821770897683
