candidate_id,source_label,source_path,source_record_id,source_title,source_corpus_type,source_doi,source_arxiv_id,selected_as_canonical
MWM-0166,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0166,Sonata: A Hybrid World Model for Inertial Kinematics under Clinical Data Scarcity,empirical,10.48550/arxiv.2604.18058,2604.18058,yes
MWM-0170,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0170,Surg-UniWorld: A Unified Surgical World Model with Multimodal Control Experts,empirical,10.48550/arxiv.2608.06770,2608.06770,yes
MWM-0173,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0173,Surgical WAM: A World-Action Model for Data-Efficient Surgical Robot Learning,empirical,10.48550/arxiv.2608.11204,2608.11204,yes
MWM-0174,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0174,SurgVista: Long-Horizon Surgical World Modeling with Plausible Instrument-Tissue Dynamics,empirical,10.48550/arxiv.2606.19889,2606.19889,yes
MWM-0175,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0175,SurgWMBench: A Vision-Based Benchmark for World-Modeling Surgical Instrument Motion Planning,empirical,10.48550/arxiv.2608.08070,2608.08070,yes
MWM-0177,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0177,SWoMo: Neuro-Symbolic World Model for Cataract Surgery Simulation,empirical,10.48550/arxiv.2605.16530,2605.16530,yes
MWM-0199,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0199,Toward Safe Autonomous Robotic Endovascular Interventions using World Models,empirical,10.48550/arxiv.2604.20151,2604.20151,yes
MWM-0200,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0200,Toward World Modeling of Physiological Signals with Chaos-Theoretic Balancing and Latent Dynamics,empirical,10.48550/arxiv.2605.15465,2605.15465,yes
MWM-0215,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0215,World Model Enhanced Offline Reinforcement Learning for Sequential Intervention Optimization in Acute Kidney Injury,empirical,10.53941/aim.2026.100002,,yes
MWM-0234,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0234,"Beyond Generative AI: World Models for Clinical Prediction, Counterfactuals, and Planning",review,10.48550/arxiv.2511.16333,2511.16333,yes
MWM-0239,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0239,CLARITY: Medical World Model for Guiding Treatment Decisions by Modeling Context-Aware Disease Trajectories in Latent Space,empirical,10.48550/arxiv.2512.08029,2512.08029,yes
MWM-0242,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0242,EchoWorld: Learning Motion-Aware World Models for Echocardiography Probe Guidance,empirical,10.48550/arxiv.2504.13065,2504.13065,yes
MWM-0261,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0261,Learning Emotional Dynamics: A World Model Approach,empirical,10.5281/zenodo.17609413,,yes
MWM-0263,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0263,Medical World Model,empirical,10.1109/iccv51701.2025.00779,,yes
MWM-0290,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0290,X-WIN: Building Chest Radiograph World Model via Predictive Sensing,empirical,,2511.14918,yes
MWM-0294,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0294,Cardiac Copilot: Automatic Probe Guidance for Echocardiography with World Model,empirical,10.1007/978-3-031-72378-0_18,2406.13165,yes
MWM-0315,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0315,World Models for General Surgical Grasping,empirical,10.15607/rss.2024.xx.041,2405.17940,yes
MWM-0369,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-0369,Data-Efficient Reinforcement Learning for Malaria Control,empirical,10.24963/ijcai.2021/71,2105.01620,yes
MWM-S002,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-S002,Xray2Xray: World Model from Chest X-rays with Volumetric Context,empirical,10.48550/arxiv.2506.19055,2506.19055,yes
MWM-S003,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-S003,Treatment-aware Diffusion Probabilistic Model for Longitudinal MRI Generation and Diffuse Glioma Growth Prediction,empirical,10.48550/arxiv.2309.05406,2309.05406,yes
MWM-S004,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-S004,Cosmos-H-Surgical: Learning Surgical Robot Policies from Videos via World Modeling,empirical,10.48550/arxiv.2512.23162,2512.23162,yes
MWM-S005,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-S005,Surgical Vision World Model,empirical,10.48550/arxiv.2503.02904,2503.02904,yes
MWM-S006,existing,output/literature-search/medical-world-models/final-corpus/included.csv,MWM-S006,Surgical Procedural Planning as 3D World Modelling: Towards Automated Pulmonary Resection,empirical,,,yes
MWM-X198B3126D0,sampled_audit,output/literature-search/medical-world-models/screening/discovery-filter-audit/resolved-final/included.csv,AUD-144e1a6e24b3,"What Makes a Virtual Cell a World Model? Three Gaps, Three Experiments, and a Roadmap",review,10.21203/rs.3.rs-10404367/v1,,yes
MWM-X5E3C456867,sampled_audit,output/literature-search/medical-world-models/screening/discovery-filter-audit/resolved-final/included.csv,AUD-5087605e130b,Towards Surgical World-Action Modeling: A Preliminary Joint Visual-Trajectory Forecasting for Surgical Motion Planning,empirical,10.48550/arxiv.2608.20284,2608.20284,yes
MWM-X6C3AA8358E,sampled_audit,output/literature-search/medical-world-models/screening/discovery-filter-audit/resolved-final/included.csv,AUD-fa60370df827,Model-based reinforcement learning for ultrasound-driven autonomous microrobots.,empirical,10.1038/s42256-025-01054-2,,yes
MWM-X962473BB89,sampled_audit,output/literature-search/medical-world-models/screening/discovery-filter-audit/resolved-final/included.csv,AUD-12eef56fc6be,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,empirical,,2605.28111,yes
MWM-X9655500E17,sampled_audit,output/literature-search/medical-world-models/screening/discovery-filter-audit/resolved-final/included.csv,AUD-90cdc2ad73d0,Medical World Model: From Passive Prediction to Active Simulation in Medicine,review,10.20944/preprints202604.2168.v1,,yes
MWM-XA5E34A98D0,sampled_audit,output/literature-search/medical-world-models/screening/discovery-filter-audit/resolved-final/included.csv,AUD-5b8afa4dfc3d,Towards Effective Patient Simulators,review,10.3389/frai.2021.798659,,yes
MWM-XC0A20D0271,sampled_audit,output/literature-search/medical-world-models/screening/discovery-filter-audit/resolved-final/included.csv,AUD-669035784e86,Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories,empirical,,2605.10840,yes
MWM-XFA677C184B,sampled_audit,output/literature-search/medical-world-models/screening/discovery-filter-audit/resolved-final/included.csv,AUD-13ca47847a68,DRIFT: Direct-Recursive Intervention-Conditioned Forecasting of ICU Physiological Trajectories,empirical,,2607.25864,yes
