split,model,horizon_hours,variable,observed_targets,mae,rmse,nmae
external_test,global_median,1,HR,27901,14.313465467187555,18.111677125131393,0.6361540207638914
external_test,global_median,1,O2Sat,27340,2.136795903438186,3.0101966436117444,0.6105131152680531
external_test,global_median,1,Temp,11091,0.6085168154359443,0.7975144305736506,0.6473583142935593
external_test,global_median,1,SBP,27367,20.56424379727409,26.476347948855842,0.7091118550784169
external_test,global_median,1,MAP,27192,14.038798175934097,18.857949523307013,0.7388841145228472
external_test,global_median,1,DBP,27361,11.972304009356384,16.076320233121038,0.748269000584774
external_test,global_median,1,Resp,24857,3.683871746389347,5.085262886037162,0.5262673923413353
external_test,global_median,1,BaseExcess,86,3.191279069767442,3.8618776310506404,0.7978197674418605
external_test,global_median,1,HCO3,74,2.1810810810810817,2.738452413612773,0.4362162162162163
external_test,global_median,1,FiO2,807,0.22438661710037067,1.7907466269777723,1.4959107806691376
external_test,global_median,1,pH,760,0.06110526315789475,0.0785242168479187,0.6789473684210539
external_test,global_median,1,PaCO2,767,7.043024771838334,10.723150272196332,0.7825583079820371
external_test,global_median,1,SaO2,648,2.2017746913580263,3.6895649690029626,0.44035493827160527
external_test,global_median,1,BUN,1660,13.90933734939759,23.52255710527842,0.8181963146704465
external_test,global_median,1,Chloride,229,3.8056768558951966,5.136244188783495,0.5436681222707423
external_test,global_median,1,Creatinine,1662,0.9555234657039704,2.1416458183068,1.3650335224342436
external_test,global_median,1,Glucose,7394,31.67842169326481,47.86421314496328,0.6886613411579307
external_test,global_median,1,Magnesium,1477,0.28554502369668316,0.42986236401584516,0.7138625592417077
external_test,global_median,1,Phosphate,913,0.9892661555312154,1.3723286307425597,0.6595107703541436
external_test,global_median,1,Potassium,2433,0.47287299630086443,0.6695524267125963,0.6755328518583776
external_test,global_median,1,Hct,1815,5.301900826446275,6.512978249229081,0.8691640699092251
external_test,global_median,1,Hgb,1826,1.8720974808324204,2.259798246769116,0.8509534003783732
external_test,global_median,1,WBC,1607,4.243067828251405,9.546617879823863,0.6843657787502265
external_test,global_median,1,Platelets,1644,71.41240875912409,92.01656897503156,0.5951034063260341
external_test,global_median,3,HR,27960,14.326824034334765,18.092536044320084,0.6367477348593229
external_test,global_median,3,O2Sat,27358,2.1736420790993494,3.0306012318190416,0.6210405940283855
external_test,global_median,3,Temp,11015,0.6058184294144405,0.7947227496125275,0.6444876908664277
external_test,global_median,3,SBP,27409,20.70034988507425,26.677132338849884,0.7138051684508362
external_test,global_median,3,MAP,27221,14.11904412034826,18.962462121056873,0.7431075852814873
