evaluation,split,model,seed,metric,normalized_rollout_area
zero_shot,external_test,rssm,20260914,mask_brier,0.06600998774477415
zero_shot,external_test,rssm,20260915,patient_nmae,0.6035037693164178
zero_shot,external_test,rssm,20260915,patient_crps,0.47512967921164695
zero_shot,external_test,rssm,20260915,coverage_error_90,0.3725788849941562
zero_shot,external_test,rssm,20260915,mask_brier,0.06615157338894662
zero_shot,external_test,rssm,20260916,patient_nmae,0.6166953473223437
zero_shot,external_test,rssm,20260916,patient_crps,0.49304136987278485
zero_shot,external_test,rssm,20260916,coverage_error_90,0.40101475595825187
zero_shot,external_test,rssm,20260916,mask_brier,0.06607278319195603
zero_shot,external_test,transformer,20260912,patient_nmae,0.5062874541088632
zero_shot,external_test,transformer,20260912,patient_crps,0.37478333199014024
zero_shot,external_test,transformer,20260912,coverage_error_90,0.03765170309926414
zero_shot,external_test,transformer,20260912,mask_brier,0.06292304029058038
zero_shot,external_test,transformer,20260913,patient_nmae,0.5147789335902851
zero_shot,external_test,transformer,20260913,patient_crps,0.3814800282122143
zero_shot,external_test,transformer,20260913,coverage_error_90,0.018404450729524548
zero_shot,external_test,transformer,20260913,mask_brier,0.06314505911307466
zero_shot,external_test,transformer,20260914,patient_nmae,0.5080308569148859
zero_shot,external_test,transformer,20260914,patient_crps,0.37712072450362444
zero_shot,external_test,transformer,20260914,coverage_error_90,0.030376864924870323
zero_shot,external_test,transformer,20260914,mask_brier,0.06385303969368246
zero_shot,external_test,transformer,20260915,patient_nmae,0.5076094071575785
zero_shot,external_test,transformer,20260915,patient_crps,0.3773044450229338
zero_shot,external_test,transformer,20260915,coverage_error_90,0.032224277203444084
zero_shot,external_test,transformer,20260915,mask_brier,0.06425819519393974
zero_shot,external_test,transformer,20260916,patient_nmae,0.5048154205091298
zero_shot,external_test,transformer,20260916,patient_crps,0.37276194070649615
zero_shot,external_test,transformer,20260916,coverage_error_90,0.04987495331250855
zero_shot,external_test,transformer,20260916,mask_brier,0.0653272775888723
zero_shot,internal_test,global_median,-1,patient_nmae,0.6215072310914886
zero_shot,internal_test,grud,20260912,patient_nmae,0.48253277553511925
zero_shot,internal_test,grud,20260912,patient_crps,0.3549691897180893
zero_shot,internal_test,grud,20260912,coverage_error_90,0.05384504162413332
zero_shot,internal_test,grud,20260912,mask_brier,0.07452722284971033
zero_shot,internal_test,grud,20260913,patient_nmae,0.4868283814903553
zero_shot,internal_test,grud,20260913,patient_crps,0.35764125698197646
zero_shot,internal_test,grud,20260913,coverage_error_90,0.04710322132700064
zero_shot,internal_test,grud,20260913,mask_brier,0.07441671622189805
zero_shot,internal_test,grud,20260914,patient_nmae,0.48722217488517855
zero_shot,internal_test,grud,20260914,patient_crps,0.3582843830463222
zero_shot,internal_test,grud,20260914,coverage_error_90,0.050254617107629386
zero_shot,internal_test,grud,20260914,mask_brier,0.0741599100991218
zero_shot,internal_test,grud,20260915,patient_nmae,0.48635262200080676
zero_shot,internal_test,grud,20260915,patient_crps,0.3569263229148585
zero_shot,internal_test,grud,20260915,coverage_error_90,0.05407234043716912
zero_shot,internal_test,grud,20260915,mask_brier,0.07435482462200371
zero_shot,internal_test,grud,20260916,patient_nmae,0.4834596818961144
zero_shot,internal_test,grud,20260916,patient_crps,0.35546219599978335
zero_shot,internal_test,grud,20260916,coverage_error_90,0.06280909531368727
zero_shot,internal_test,grud,20260916,mask_brier,0.07411801250414123
zero_shot,internal_test,hourly_median,-1,patient_nmae,0.6193006376883767
zero_shot,internal_test,locf,-1,patient_nmae,0.5346676348334876
zero_shot,internal_test,ridge_var,-1,patient_nmae,0.4965896579655994
zero_shot,internal_test,rssm,20260912,patient_nmae,0.579012203029278
zero_shot,internal_test,rssm,20260912,patient_crps,0.4563055659254075
zero_shot,internal_test,rssm,20260912,coverage_error_90,0.3848851279731604
zero_shot,internal_test,rssm,20260912,mask_brier,0.08189470627102402
zero_shot,internal_test,rssm,20260913,patient_nmae,0.5858269276187568
zero_shot,internal_test,rssm,20260913,patient_crps,0.46094622659591034
zero_shot,internal_test,rssm,20260913,coverage_error_90,0.38262328881877145
zero_shot,internal_test,rssm,20260913,mask_brier,0.08167581527409999
zero_shot,internal_test,rssm,20260914,patient_nmae,0.5853741081950813
zero_shot,internal_test,rssm,20260914,patient_crps,0.46318996895168807
zero_shot,internal_test,rssm,20260914,coverage_error_90,0.39450633051176043
zero_shot,internal_test,rssm,20260914,mask_brier,0.08218799897649616
zero_shot,internal_test,rssm,20260915,patient_nmae,0.5818183244588468
zero_shot,internal_test,rssm,20260915,patient_crps,0.4535070589892085
zero_shot,internal_test,rssm,20260915,coverage_error_90,0.36120105072661557
zero_shot,internal_test,rssm,20260915,mask_brier,0.0821331772869641
zero_shot,internal_test,rssm,20260916,patient_nmae,0.5836185014600117
zero_shot,internal_test,rssm,20260916,patient_crps,0.4601027101902516
zero_shot,internal_test,rssm,20260916,coverage_error_90,0.3874758887195926
zero_shot,internal_test,rssm,20260916,mask_brier,0.08203607991301266
zero_shot,internal_test,transformer,20260912,patient_nmae,0.48267044288918254
zero_shot,internal_test,transformer,20260912,patient_crps,0.3557756615829525
zero_shot,internal_test,transformer,20260912,coverage_error_90,0.04484557351938018
zero_shot,internal_test,transformer,20260912,mask_brier,0.07372107751174456
zero_shot,internal_test,transformer,20260913,patient_nmae,0.4904984979688065
zero_shot,internal_test,transformer,20260913,patient_crps,0.36023851294640485
zero_shot,internal_test,transformer,20260913,coverage_error_90,0.03370489231063108
zero_shot,internal_test,transformer,20260913,mask_brier,0.07394706572843537
zero_shot,internal_test,transformer,20260914,patient_nmae,0.4840328701626668
zero_shot,internal_test,transformer,20260914,patient_crps,0.3569625062305628
zero_shot,internal_test,transformer,20260914,coverage_error_90,0.035933002414400325
zero_shot,internal_test,transformer,20260914,mask_brier,0.07391934536126919
zero_shot,internal_test,transformer,20260915,patient_nmae,0.4811822790639827
zero_shot,internal_test,transformer,20260915,patient_crps,0.3554564409530943
zero_shot,internal_test,transformer,20260915,coverage_error_90,0.03639787832135961
zero_shot,internal_test,transformer,20260915,mask_brier,0.07392054498395274
zero_shot,internal_test,transformer,20260916,patient_nmae,0.48125184581024294
zero_shot,internal_test,transformer,20260916,patient_crps,0.35426575995813303
zero_shot,internal_test,transformer,20260916,coverage_error_90,0.060456577958683595
zero_shot,internal_test,transformer,20260916,mask_brier,0.07398680877137635
