evaluation,split,model,seed,horizon_hours,patient_nmae,patient_crps,coverage_90,mean_interval_width_scaled,patient_nll,mask_brier,coverage_error_90
recalibrated,external_test,grud,20260912,1,0.37624984956289065,0.2880569510796271,0.8987365559845181,1.6969099556964187,0.7616932782940293,0.06400282892466963,0.0012634440154819515
recalibrated,external_test,grud,20260912,3,0.4363625922854469,0.32859492946508634,0.8846759398522227,1.8538238644906275,0.8991289335452396,0.061178739686815524,0.015324060147777319
recalibrated,external_test,grud,20260912,6,0.4834918199554325,0.36522304626670277,0.8974728695358235,2.1545586601053515,1.0161544567184666,0.06242336845285377,0.002527130464176519
recalibrated,external_test,grud,20260912,12,0.5214177432427437,0.39017789679782866,0.8871951760598354,2.2129109733772263,1.0941523974926382,0.06246144555024608,0.012804823940164578
recalibrated,external_test,grud,20260912,24,0.5606425324304202,0.4174596362372863,0.8825083432327497,2.3264626777563775,1.17371216993391,0.06594532485128395,0.017491656767250285
recalibrated,external_test,grud,20260913,1,0.37807037099482205,0.28894539071148406,0.9007130770526559,1.6979640370285254,0.7861476649987256,0.062252530207950386,0.0007130770526558861
recalibrated,external_test,grud,20260913,3,0.43743149831632955,0.32826793000462473,0.8802401551385761,1.8146133210878015,0.8992062541340006,0.058712223978869216,0.019759844861423903
recalibrated,external_test,grud,20260913,6,0.483440693641038,0.3624107077232286,0.8907643137872321,2.083999384281749,1.0084274306305447,0.059265925815294766,0.009235686212767935
recalibrated,external_test,grud,20260913,12,0.5217840799200922,0.3886007201731008,0.8862875154549628,2.1933020402992627,1.0877923754296766,0.05893757250653091,0.013712484545037262
recalibrated,external_test,grud,20260913,24,0.5624462120413831,0.418533659791432,0.8862571168147706,2.359531946031413,1.172599321255572,0.06335464248015853,0.013742883185229426
recalibrated,external_test,grud,20260914,1,0.3769867258814906,0.2880265918382754,0.8970613521056667,1.6821380280295553,0.788007259693501,0.06338768078127018,0.0029386478943332905
recalibrated,external_test,grud,20260914,3,0.43597354293040397,0.32753778796677413,0.8834720644974018,1.8250670933095363,0.8935047087111586,0.06047569339262784,0.016527935502598234
recalibrated,external_test,grud,20260914,6,0.48199886170676065,0.36168324135680663,0.8897213465346977,2.0676815558850703,1.0066127402383767,0.061480238198321234,0.010278653465302323
recalibrated,external_test,grud,20260914,12,0.5197925517479932,0.3867799524418981,0.8836179679945255,2.1685225369366905,1.0886126864374712,0.06144299569206821,0.0163820320054745
recalibrated,external_test,grud,20260914,24,0.5563406048696,0.41297047386565133,0.8865973718298354,2.325036183496425,1.1545976643928146,0.06512483990771607,0.013402628170164577
recalibrated,external_test,grud,20260915,1,0.3780082161133657,0.28851969800247734,0.896353974604632,1.6891940364009075,0.769904274114589,0.06344356542524446,0.003646025395368069
recalibrated,external_test,grud,20260915,3,0.43797619222883366,0.3278321875310199,0.8807481300754629,1.8218872524727845,0.8964516334160432,0.06103187665873473,0.01925186992453709
recalibrated,external_test,grud,20260915,6,0.48446110174906687,0.36137631447418495,0.8840698636896249,2.0387968252780335,1.002876800537191,0.06304320400702373,0.015930136310375098
recalibrated,external_test,grud,20260915,12,0.5234771297863247,0.3885630835220069,0.8803199371321091,2.1700806974831743,1.0802219450326513,0.06441513477707758,0.019680062867890924
recalibrated,external_test,grud,20260915,24,0.5642600747524824,0.41765995560260977,0.8763965985664265,2.293319955051526,1.1648384005020191,0.06981834930542118,0.023603401433573534
recalibrated,external_test,grud,20260916,1,0.37583533797308705,0.28920436072907707,0.9079517964607787,1.758081097744714,0.7714236859516195,0.06324627631974607,0.007951796460778704
recalibrated,external_test,grud,20260916,3,0.43594784761237754,0.32700658269785265,0.8800888886306454,1.8119310337540249,0.8974929364227893,0.05987545360818017,0.01991111136935464
recalibrated,external_test,grud,20260916,6,0.4814560484970058,0.3604010141953019,0.8832553392836267,2.0213435881272224,1.0066054964076336,0.06082252026671488,0.016744660716373372
recalibrated,external_test,grud,20260916,12,0.521345260987547,0.3882040025259223,0.8831281305427744,2.1747098675190366,1.0863752441878105,0.06114139278196673,0.01687186945722563
recalibrated,external_test,grud,20260916,24,0.5599782691469277,0.41590236979855955,0.8824206744287334,2.3048016716967306,1.1691158988869272,0.06551030389438739,0.017579325571266624
recalibrated,external_test,rssm,20260912,1,0.506474583959051,0.3850244713053095,0.8887012518941124,2.2335230661864838,1.0701963030073682,0.07219368080249948,0.011298748105887602
recalibrated,external_test,rssm,20260912,3,0.5538157738254371,0.41651790809238276,0.872532512910892,2.301542513895479,1.148781736495114,0.06786144357887583,0.027467487089108067
recalibrated,external_test,rssm,20260912,6,0.5907242987332336,0.4451795089836391,0.8773873591428295,2.5129243050278935,1.216654821343347,0.06636681708306932,0.02261264085717052
recalibrated,external_test,rssm,20260912,12,0.6164592913720108,0.4646724385129887,0.8743227224394533,2.580520853416226,1.2672725202925834,0.06512061852069143,0.02567727756054672
recalibrated,external_test,rssm,20260912,24,0.6437266360060483,0.4854558494473652,0.8768927464107406,2.7197732639861245,1.335892553488534,0.06805376466832483,0.02310725358925947
recalibrated,external_test,rssm,20260913,1,0.4924792619600237,0.3755908758161504,0.895017832786808,2.2247203732659435,1.0520002056966646,0.07135401753929078,0.004982167213192001
recalibrated,external_test,rssm,20260913,3,0.5478516879249903,0.41435625226318495,0.8784658006064335,2.346950122392532,1.1400341952049367,0.06697491230068528,0.02153419939356649
recalibrated,external_test,rssm,20260913,6,0.5921344838389663,0.4482987431234323,0.8818509540920907,2.5736563962500245,1.2252301299472146,0.06541616389409693,0.018149045907909334
recalibrated,external_test,rssm,20260913,12,0.6232319274213537,0.47168505203941213,0.8784316460381005,2.676214725030141,1.2810343700875968,0.06409915874342793,0.02156835396189949
recalibrated,external_test,rssm,20260913,24,0.6534830552808274,0.49481450628951945,0.878988851011222,2.795970981187608,1.3390257057410724,0.06700765342657311,0.021011148988777983
