split,model,horizon_hours,constraint,seeds,mean,standard_deviation,minimum,maximum
external_test,global_median,1,pressure_order,1,0.0,0.0,0.0,0.0
external_test,global_median,3,pressure_order,1,0.0,0.0,0.0,0.0
external_test,global_median,6,pressure_order,1,0.0,0.0,0.0,0.0
external_test,global_median,12,pressure_order,1,0.0,0.0,0.0,0.0
external_test,global_median,24,pressure_order,1,0.0,0.0,0.0,0.0
external_test,grud,1,FiO2_bounds,5,1.9904761904761905,0.23799442970944254,1.7668308702791462,2.380952380952381
external_test,grud,1,O2Sat_bounds,5,121.87027914614123,3.419522784438758,115.92118226600984,124.67651888341544
external_test,grud,1,SaO2_bounds,5,6.771100164203612,0.44029324067652353,6.247947454844007,7.399014778325123
external_test,grud,1,emitted_FiO2_bounds,5,16.630213464696222,2.720819273736629,13.014778325123151,20.374384236453203
external_test,grud,1,emitted_O2Sat_bounds,5,134.41083743842367,3.0723073805448746,129.47947454844007,137.51067323481118
external_test,grud,1,emitted_SaO2_bounds,5,206.21182266009856,3.5366197156246377,200.34811165845647,209.67651888341544
external_test,grud,1,emitted_pressure_order,5,106.78128078817733,4.846576146272647,101.95730706075534,112.70771756978654
external_test,grud,1,pressure_order,5,95.29556650246306,5.0117379698715405,91.311986863711,102.63218390804596
external_test,grud,3,FiO2_bounds,5,3.5983579638752046,0.4368257444027395,3.1888341543513956,4.267651888341543
external_test,grud,3,O2Sat_bounds,5,131.5231527093596,6.122449288316186,120.67651888341544,135.3448275862069
external_test,grud,3,SaO2_bounds,5,17.646305418719212,1.124894581644353,16.328407224958948,19.310344827586206
external_test,grud,3,emitted_FiO2_bounds,5,15.541871921182267,2.463300753942106,12.699507389162562,18.75205254515599
external_test,grud,3,emitted_O2Sat_bounds,5,132.71001642036123,6.052496776765038,122.02627257799672,136.38423645320196
external_test,grud,3,emitted_SaO2_bounds,5,202.92019704433497,5.6910665560611156,196.64039408866995,209.6600985221675
external_test,grud,3,emitted_pressure_order,5,122.59014778325124,5.36854295390019,114.8784893267652,128.65024630541873
external_test,grud,3,pressure_order,5,121.42889983579637,4.945731495895969,115.34811165845647,128.57635467980296
external_test,grud,6,FiO2_bounds,5,4.720853858784894,0.5461010760679847,4.2151067323481115,5.48440065681445
external_test,grud,6,O2Sat_bounds,5,128.83021346469621,9.107172054400557,113.48604269293924,135.58128078817734
external_test,grud,6,SaO2_bounds,5,30.692939244663382,1.926400573056718,27.89983579638752,33.26108374384236
external_test,grud,6,emitted_FiO2_bounds,5,14.74712643678161,2.3725521369777827,12.183908045977011,17.551724137931036
external_test,grud,6,emitted_O2Sat_bounds,5,129.12446633825942,9.060648014428995,113.94417077175696,136.22988505747125
external_test,grud,6,emitted_SaO2_bounds,5,198.76978653530375,6.832945343688056,190.1904761904762,207.4022988505747
external_test,grud,6,emitted_pressure_order,5,137.34679802955665,7.214475002856564,127.1231527093596,144.5615763546798
external_test,grud,6,pressure_order,5,140.07651888341545,5.334992628751126,132.33169129720855,147.33825944170772
external_test,grud,12,FiO2_bounds,5,5.727093596059113,0.6716533951547631,5.072249589490969,6.610837438423645
external_test,grud,12,O2Sat_bounds,5,122.97372742200328,13.608103557031347,102.16256157635468,135.21018062397374
external_test,grud,12,SaO2_bounds,5,50.80197044334976,3.4976419034954294,45.139573070607554,54.433497536945815
external_test,grud,12,emitted_FiO2_bounds,5,14.36223316912972,2.493329692484,11.114942528735632,17.32512315270936
external_test,grud,12,emitted_O2Sat_bounds,5,123.31986863711002,13.520964889500657,102.73891625615764,135.66174055829228
external_test,grud,12,emitted_SaO2_bounds,5,192.76190476190476,8.197586975086411,179.7783251231527,200.20689655172413
external_test,grud,12,emitted_pressure_order,5,155.77799671592774,8.182957280166816,144.82266009852216,164.5270935960591
external_test,grud,12,pressure_order,5,161.06666666666666,6.562248236038831,151.73563218390805,168.22824302134646
external_test,grud,24,FiO2_bounds,5,6.542857142857143,0.8861341930817844,5.801313628899836,8.042692939244663
external_test,grud,24,O2Sat_bounds,5,116.76256157635467,17.17415177793982,92.05418719211822,133.6206896551724
external_test,grud,24,SaO2_bounds,5,78.84827586206897,6.356477154033115,68.04433497536945,84.18062397372742
external_test,grud,24,emitted_FiO2_bounds,5,13.879146141215108,2.887994398642913,10.26272577996716,18.279146141215108
external_test,grud,24,emitted_O2Sat_bounds,5,117.17339901477833,17.23464680500546,92.46633825944171,134.311986863711
external_test,grud,24,emitted_SaO2_bounds,5,186.32840722495897,10.78321466259295,167.83415435139574,194.7668308702791
