evaluation,split,model,seed,horizon_hours,patients,observed_targets
zero_shot,external_test,rssm,20260912,24,10162,192680
zero_shot,external_test,rssm,20260913,1,10245,198911
zero_shot,external_test,rssm,20260913,3,10245,197165
zero_shot,external_test,rssm,20260913,6,10218,194715
zero_shot,external_test,rssm,20260913,12,10178,195401
zero_shot,external_test,rssm,20260913,24,10162,192680
zero_shot,external_test,rssm,20260914,1,10245,198911
zero_shot,external_test,rssm,20260914,3,10245,197165
zero_shot,external_test,rssm,20260914,6,10218,194715
zero_shot,external_test,rssm,20260914,12,10178,195401
zero_shot,external_test,rssm,20260914,24,10162,192680
zero_shot,external_test,rssm,20260915,1,10245,198911
zero_shot,external_test,rssm,20260915,3,10245,197165
zero_shot,external_test,rssm,20260915,6,10218,194715
zero_shot,external_test,rssm,20260915,12,10178,195401
zero_shot,external_test,rssm,20260915,24,10162,192680
zero_shot,external_test,rssm,20260916,1,10245,198911
zero_shot,external_test,rssm,20260916,3,10245,197165
zero_shot,external_test,rssm,20260916,6,10218,194715
zero_shot,external_test,rssm,20260916,12,10178,195401
zero_shot,external_test,rssm,20260916,24,10162,192680
zero_shot,external_test,transformer,20260912,1,10245,198911
zero_shot,external_test,transformer,20260912,3,10245,197165
zero_shot,external_test,transformer,20260912,6,10218,194715
zero_shot,external_test,transformer,20260912,12,10178,195401
zero_shot,external_test,transformer,20260912,24,10162,192680
zero_shot,external_test,transformer,20260913,1,10245,198911
zero_shot,external_test,transformer,20260913,3,10245,197165
zero_shot,external_test,transformer,20260913,6,10218,194715
zero_shot,external_test,transformer,20260913,12,10178,195401
zero_shot,external_test,transformer,20260913,24,10162,192680
zero_shot,external_test,transformer,20260914,1,10245,198911
zero_shot,external_test,transformer,20260914,3,10245,197165
zero_shot,external_test,transformer,20260914,6,10218,194715
zero_shot,external_test,transformer,20260914,12,10178,195401
zero_shot,external_test,transformer,20260914,24,10162,192680
zero_shot,external_test,transformer,20260915,1,10245,198911
zero_shot,external_test,transformer,20260915,3,10245,197165
zero_shot,external_test,transformer,20260915,6,10218,194715
zero_shot,external_test,transformer,20260915,12,10178,195401
zero_shot,external_test,transformer,20260915,24,10162,192680
zero_shot,external_test,transformer,20260916,1,10245,198911
zero_shot,external_test,transformer,20260916,3,10245,197165
zero_shot,external_test,transformer,20260916,6,10218,194715
zero_shot,external_test,transformer,20260916,12,10178,195401
zero_shot,external_test,transformer,20260916,24,10162,192680
zero_shot,internal_test,global_median,-1,1,1810,36216
zero_shot,internal_test,global_median,-1,3,1807,36258
zero_shot,internal_test,global_median,-1,6,1796,35149
zero_shot,internal_test,global_median,-1,12,1806,34518
zero_shot,internal_test,global_median,-1,24,1773,32924
zero_shot,internal_test,grud,20260912,1,1810,36216
zero_shot,internal_test,grud,20260912,3,1807,36258
zero_shot,internal_test,grud,20260912,6,1796,35149
zero_shot,internal_test,grud,20260912,12,1806,34518
zero_shot,internal_test,grud,20260912,24,1773,32924
zero_shot,internal_test,grud,20260913,1,1810,36216
zero_shot,internal_test,grud,20260913,3,1807,36258
zero_shot,internal_test,grud,20260913,6,1796,35149
zero_shot,internal_test,grud,20260913,12,1806,34518
zero_shot,internal_test,grud,20260913,24,1773,32924
zero_shot,internal_test,grud,20260914,1,1810,36216
zero_shot,internal_test,grud,20260914,3,1807,36258
zero_shot,internal_test,grud,20260914,6,1796,35149
zero_shot,internal_test,grud,20260914,12,1806,34518
zero_shot,internal_test,grud,20260914,24,1773,32924
zero_shot,internal_test,grud,20260915,1,1810,36216
zero_shot,internal_test,grud,20260915,3,1807,36258
zero_shot,internal_test,grud,20260915,6,1796,35149
